university_id,overall rank,overall score,academic reputation rank,academic reputation score,employer reputation rank,employer reputation score,faculty student rank,faculty student score,citations per faculty rank,citations per faculty score,international faculty rank,international faculty score,international students rank,international students score,international Research Network rank,international Research Network score,employment outcomes rank,employment outcomes score,sustainability rank,sustainability score
138,1192,,501,12.2,501,4.0,601,3.2,601,2.9,601.0,3.6,601.0,1.6,,,,,,
139,94,62.5,125,58.5,133,58.1,601,20.4,40,94.9,31.0,100.0,25.0,99.9,,,,,,
140,1153,,501,7.6,501,6.5,601,7.2,601,12.4,601.0,2.1,601.0,4.8,,,,,,
141,285,36.1,300,28.1,252,38.0,601,4.4,223,57.1,110.0,98.7,185.0,72.4,,,,,,
142,756,,501,9.2,501,4.5,390,40.1,601,15.8,601.0,2.4,601.0,9.8,,,,,,
143,1118,,501,9.8,501,3.2,601,9.4,601,3.5,,,,,,,,,,
144,148,51.0,123,58.9,117,63.0,192,69.6,601,16.0,445.0,16.0,229.0,60.6,,,,,,
145,721,,501,10.2,411,22.9,601,12.7,599,16.5,346.0,34.6,228.0,61.1,,,,,,
146,778,,501,3.8,501,4.0,601,4.6,474,27.2,237.0,67.0,142.0,83.8,,,,,,
147,923,,501,7.8,457,20.0,488,31.6,601,1.9,458.0,14.9,601.0,8.6,,,,,,
148,1151,,501,9.0,501,4.6,601,12.7,601,6.2,601.0,4.8,601.0,6.1,,,,,,
149,983,,501,11.5,501,4.9,601,8.5,601,16.1,399.0,22.4,305.0,46.8,,,,,,
150,195,44.8,269,31.2,181,48.2,601,15.2,84,84.6,38.0,100.0,314.0,46.0,,,,,,
151,306,34.1,501,13.4,501,6.1,432,36.4,4,100.0,599.0,5.7,601.0,7.6,,,,,,
152,34,82.2,60,84.2,124,60.7,223,64.8,24,98.2,21.0,100.0,116.0,89.2,,,,,,
153,555,,501,12.5,501,10.4,198,68.6,601,1.0,465.0,14.4,536.0,20.5,,,,,,
154,1013,,492,17.2,501,8.1,601,4.1,601,6.4,519.0,9.6,601.0,4.5,,,,,,
155,835,,501,15.6,501,13.5,601,8.1,601,6.8,601.0,1.3,601.0,2.8,,,,,,
156,71,67.2,120,59.3,158,52.8,53,96.6,251,53.3,51.0,100.0,242.0,57.8,,,,,,
157,114,57.0,175,45.7,207,45.8,327,47.7,63,88.4,130.0,96.0,370.0,37.5,,,,,,
158,750,,501,16.4,501,2.9,601,4.7,429,30.7,397.0,22.8,319.0,44.7,,,,,,
159,1035,,501,5.7,501,9.3,548,27.5,601,3.0,601.0,2.6,601.0,1.6,,,,,,
160,55,74.6,119,59.4,286,33.0,87,89.7,31,96.5,16.0,100.0,26.0,99.9,,,,,,
161,214,42.1,197,42.0,211,44.8,601,8.7,210,59.0,116.0,98.3,327.0,43.3,,,,,,
162,897,,501,4.4,501,2.8,339,46.1,601,4.6,601.0,5.5,601.0,10.1,,,,,,
163,1032,,501,14.2,501,17.5,601,10.6,601,1.4,502.0,10.8,601.0,2.2,,,,,,
164,1121,,501,5.7,501,6.9,601,22.6,601,1.1,,,601.0,1.6,,,,,,
