university_id,citations per faculty rank,citations per faculty score
613,601.0,15.1
614,,
615,122.0,62.0
616,,
617,15.0,96.9
618,463.0,27.7
619,341.0,38.5
620,601.0,13.4
621,511.0,23.4
622,336.0,38.7
623,275.0,44.8
624,447.0,29.0
625,,
626,,
627,34.0,86.3
628,123.0,61.7
629,469.0,27.1
630,416.0,32.2
631,509.0,23.4
632,466.0,27.5
633,,
634,273.0,44.8
635,280.0,44.4
636,232.0,48.5
637,,
638,578.0,19.4
639,269.0,45.3
640,,
641,601.0,4.5
642,583.0,19.3
643,,
644,,
645,,
646,2.0,100.0
647,188.0,52.6
648,101.0,65.0
649,126.0,60.9
650,537.0,21.7
651,17.0,96.0
652,,
653,324.0,39.7
654,138.0,59.3
655,183.0,53.0
656,218.0,49.8
657,16.0,96.4
658,601.0,12.1
659,328.0,39.2
660,,
661,576.0,19.5
662,601.0,15.2
663,480.0,26.4
664,,
665,342.0,38.4
666,,
667,,
668,,
669,601.0,18.1
670,319.0,40.0
671,,
672,,
673,,
674,,
675,208.0,50.5
676,,
677,,
678,,
679,505.0,23.8
680,,
681,410.0,32.7
682,,
683,349.0,37.8
684,52.0,77.8
685,436.0,30.8
686,432.0,31.1
687,,
688,496.0,24.3
689,601.0,12.9
690,601.0,1.5
691,,
692,486.0,25.6
693,500.0,24.1
694,601.0,14.0
695,,
696,,
697,,
698,426.0,31.3
699,599.0,18.5
700,,
701,,
702,21.0,92.1
703,306.0,41.8
704,,
705,,
706,296.0,42.6
707,601.0,7.2
708,197.0,51.8
709,,
710,,
711,,
712,,
713,601.0,1.7
714,,
715,467.0,27.5
716,363.0,36.6
717,488.0,25.5
718,223.0,49.4
719,,
720,,
721,412.0,32.6
722,,
723,200.0,51.4
724,,
725,74.0,71.2
726,,
727,533.0,22.0
728,,
729,601.0,4.0
730,,
731,99.0,65.4
732,,
733,,
734,177.0,53.4
735,390.0,34.1
736,450.0,28.8
737,,
738,,
739,,
740,,
741,445.0,29.1
742,266.0,45.6
743,248.0,46.6
744,,
745,110.0,63.9
746,478.0,26.5
747,345.0,38.1
748,318.0,40.1
749,460.0,27.8
750,528.0,22.4
751,202.0,51.3
752,,
753,530.0,22.4
754,601.0,2.3
755,593.0,18.9
756,585.0,19.2
757,353.0,37.2
758,,
759,525.0,22.5
760,242.0,47.2
761,601.0,7.6
762,,
763,238.0,48.0
764,,
765,601.0,16.3
766,493.0,25.2
767,,
768,,
769,,
770,,
771,406.0,32.9
772,154.0,57.4
773,601.0,18.5
774,181.0,53.1
775,109.0,64.2
776,,
777,262.0,45.8
778,601.0,16.2
779,,
780,381.0,35.0
781,198.0,51.8
782,156.0,57.3
783,,
784,550.0,21.3
785,,
786,,
787,,
788,315.0,40.4
789,,
790,601.0,5.2
791,,
792,601.0,1.4
793,547.0,21.3
794,243.0,47.0
795,,
796,601.0,15.5
797,,
798,,
799,,
800,,
801,251.0,46.4
802,431.0,31.2
803,19.0,94.6
804,227.0,48.7
805,,
806,170.0,54.7
807,383.0,35.0
808,601.0,15.0
809,373.0,35.9
810,,
811,,
812,601.0,18.3
813,18.0,94.9
814,458.0,28.1
815,,
816,,
817,475.0,26.7
818,601.0,6.1
819,601.0,12.0
820,,
821,5.0,99.9
822,601.0,15.5
823,199.0,51.7
824,195.0,51.8
825,128.0,60.6
826,473.0,26.8
827,572.0,19.7
828,329.0,39.0
829,438.0,30.3
830,,
831,,
832,601.0,3.8
833,277.0,44.7
834,321.0,39.9
835,,
836,,
837,,
838,470.0,26.9
839,552.0,21.1
840,325.0,39.6
841,279.0,44.5
842,601.0,15.8
843,14.0,97.4
844,472.0,26.8
845,166.0,55.7
846,87.0,68.7
847,601.0,7.7
848,,
849,193.0,52.1
850,,
851,,
852,259.0,45.8
853,,
854,,
855,,
856,,
857,,
858,601.0,9.0
859,,
860,601.0,9.1
861,,
862,596.0,18.6
863,574.0,19.6
864,544.0,21.5
865,260.0,45.8
866,601.0,7.8
867,,
868,168.0,54.9
869,434.0,30.9
870,,
871,601.0,2.4
872,331.0,39.0
873,330.0,39.0
874,112.0,63.8
875,,
876,404.0,33.2
877,,
878,97.0,65.6
879,352.0,37.4
880,441.0,29.6
881,167.0,55.6
882,,
883,,
884,196.0,51.8
885,378.0,35.2
886,,
887,,
888,,
889,,
890,,
891,588.0,19.1
892,532.0,22.1
893,,
894,286.0,43.4
895,,
896,,
897,455.0,28.3
898,,
899,90.0,68.1
900,601.0,10.6
901,372.0,35.9
902,495.0,24.8
903,601.0,2.1
904,,
905,365.0,36.4
906,,
907,601.0,10.8
908,601.0,11.9
909,263.0,45.8
910,335.0,38.8
911,,
912,,
913,392.0,33.8
914,,
915,,
916,,
917,81.0,70.0
918,601.0,10.7
919,,
920,,
921,,
922,72.0,72.3
923,,
924,601.0,4.4
925,,
926,,
927,,
928,601.0,1.1
929,,
930,565.0,19.9
931,40.0,83.3
932,464.0,27.6
933,443.0,29.4
934,283.0,43.9
935,,
936,,
937,601.0,4.3
938,,
939,176.0,53.4
940,,
941,294.0,42.8
942,,
943,601.0,1.1
944,494.0,25.0
945,350.0,37.7
946,339.0,38.6
947,,
948,398.0,33.6
949,,
950,601.0,7.5
951,,
952,291.0,43.2
953,89.0,68.3
954,,
955,,
956,119.0,62.5
957,38.0,84.0
958,393.0,33.8
959,,
960,559.0,20.7
961,601.0,6.0
962,,
963,601.0,3.8
964,577.0,19.5
965,422.0,31.6
966,428.0,31.3
967,297.0,42.4
968,601.0,1.7
969,33.0,86.7
970,235.0,48.2
971,369.0,36.2
972,541.0,21.5
973,377.0,35.4
974,244.0,46.9
975,601.0,11.2
976,,
977,499.0,24.2
978,,
979,,
980,448.0,28.9
981,,
982,601.0,4.3
983,8.0,99.1
984,,
985,230.0,48.5
986,,
987,429.0,31.3
988,,
989,106.0,64.4
990,100.0,65.4
991,,
992,,
993,314.0,40.4
994,,
995,,
996,80.0,70.2
997,601.0,16.9
998,,
999,,
1000,,
1001,293.0,43.1
1002,519.0,22.9
1003,408.0,32.8
1004,133.0,59.8
1005,354.0,37.1
1006,,
1007,86.0,68.7
1008,62.0,75.6
1009,217.0,49.8
1010,,
1011,332.0,38.9
1012,,
1013,492.0,25.3
1014,,
1015,,
1016,476.0,26.7
1017,524.0,22.5
1018,601.0,9.6
1019,257.0,46.1
1020,,
1021,384.0,34.9
1022,,
1023,,
1024,12.0,98.5
1025,115.0,63.0
1026,,
1027,98.0,65.6
1028,246.0,46.7
1029,343.0,38.2
1030,317.0,40.1
1031,,
1032,,
1033,,
1034,298.0,42.3
1035,423.0,31.5
1036,414.0,32.3
1037,,
1038,,
1039,,
1040,601.0,1.4
1041,,
1042,42.0,82.3
1043,,
1044,471.0,26.9
1045,37.0,84.5
1046,,
1047,,
1048,245.0,46.8
1049,601.0,11.9
1050,,
1051,415.0,32.3
1052,289.0,43.3
1053,515.0,23.2
1054,,
1055,601.0,6.7
1056,594.0,18.7
1057,60.0,75.9
1058,560.0,20.4
1059,430.0,31.2
1060,344.0,38.2
1061,,
1062,10.0,98.8
1063,310.0,41.3
1064,474.0,26.7
1065,598.0,18.6
1066,301.0,42.1
1067,601.0,2.6
1068,601.0,16.5
1069,114.0,63.4
1070,56.0,77.2
1071,150.0,57.6
1072,,
1073,485.0,25.7
1074,567.0,19.9
1075,491.0,25.3
1076,,
1077,,
1078,314.0,40.6
1079,139.0,59.2
1080,31.0,87.5
1081,,
1082,256.0,46.1
1083,601.0,12.6
1084,111.0,63.8
1085,399.0,33.5
1086,,
1087,,
1088,,
1089,233.0,48.4
1090,209.0,50.4
1091,,
1092,534.0,22.0
1093,215.0,49.9
1094,,
1095,,
1096,,
1097,28.0,87.9
1098,258.0,45.9
1099,165.0,55.7
1100,601.0,14.2
1101,539.0,21.6
1102,,
1103,157.0,56.8
1104,,
1105,,
1106,,
1107,,
1108,601.0,5.8
1109,,
1110,255.0,46.3
1111,601.0,2.2
1112,551.0,21.2
1113,,
1114,580.0,19.3
1115,,
1116,,
1117,601.0,10.2
1118,601.0,17.6
1119,601.0,6.5
1120,563.0,20.3
1121,,
1122,299.0,42.3
1123,7.0,99.2
1124,,
1125,601.0,5.6
1126,,
1127,601.0,16.6
1128,,
1129,382.0,35.0
1130,538.0,21.6
1131,53.0,77.5
1132,252.0,46.4
1133,153.0,57.4
1134,,
1135,134.0,59.7
1136,13.0,98.1
1137,601.0,10.6
1138,236.0,48.1
1139,601.0,1.2
1140,440.0,30.0
1141,568.0,19.8
1142,,
1143,418.0,31.9
1144,375.0,35.5
1145,442.0,29.5
1146,,
1147,553.0,20.9
