university_id,academic reputation rank,academic reputation score
597,501.0,15.5
598,143.0,53.7
599,285.0,29.2
600,471.0,17.9
601,,
602,501.0,13.5
603,,
604,210.0,39.6
605,501.0,13.4
606,247.0,34.1
607,,
608,,
609,,
610,501.0,11.7
611,211.0,39.4
612,501.0,15.0
613,400.0,20.4
614,,
615,329.0,25.3
616,,
617,6.0,100.0
618,,
619,225.0,37.2
620,432.0,19.5
621,190.0,42.8
622,322.0,25.6
623,440.0,19.1
624,353.0,24.0
625,,
626,,
627,14.0,99.4
628,151.0,50.9
629,,
630,45.0,89.8
631,,
632,,
633,,
634,74.0,75.5
635,243.0,34.4
636,501.0,14.2
637,,
638,436.0,19.3
639,407.0,20.2
640,,
641,501.0,16.4
642,271.0,31.0
643,,
644,,
645,,
646,263.0,31.8
647,91.0,69.2
648,144.0,53.1
649,157.0,50.2
650,438.0,19.3
651,501.0,5.0
652,,
653,311.0,26.9
654,,
655,454.0,18.5
656,,
657,19.0,98.7
658,501.0,13.2
659,223.0,37.4
660,,
661,499.0,16.6
662,435.0,19.4
663,,
664,,
665,,
666,,
667,,
668,,
669,165.0,48.0
670,89.0,69.3
671,,
672,,
673,,
674,,
675,,
676,,
677,295.0,28.6
678,,
679,300.0,28.3
680,,
681,140.0,54.0
682,,
683,107.0,63.5
684,131.0,55.5
685,,
686,,
687,323.0,25.5
688,,
689,475.0,17.8
690,383.0,21.6
691,,
692,501.0,15.0
693,371.0,22.6
694,372.0,22.5
695,,
696,,
697,,
698,,
699,327.0,25.3
700,,
701,,
702,57.0,85.2
703,179.0,43.7
704,365.0,22.8
705,,
706,20.0,98.6
707,201.0,41.2
708,37.0,92.3
709,,
710,,
711,,
712,,
713,501.0,14.7
714,,
715,,
716,284.0,29.3
717,,
718,500.0,16.5
719,,
720,,
721,,
722,,
723,77.0,74.3
724,,
725,152.0,50.9
726,315.0,26.2
727,484.0,17.2
728,,
729,35.0,93.3
730,,
731,13.0,99.4
732,,
733,,
734,219.0,38.2
735,273.0,30.9
736,501.0,8.6
737,446.0,18.8
738,318.0,26.0
739,,
740,,
741,340.0,24.7
742,178.0,43.9
743,501.0,4.7
744,,
745,321.0,25.8
746,,
747,215.0,38.6
748,490.0,17.0
