university_id,sustainability rank,sustainability score
424,701.0,1.3
425,701.0,1.4
426,416.0,33.2
427,425.0,31.6
428,683.0,9.4
429,160.0,78.2
430,69.0,93.3
431,393.0,35.8
432,701.0,1.4
433,701.0,1.1
434,226.0,64.8
435,447.0,30.2
436,701.0,1.1
437,627.0,13.7
438,701.0,1.9
439,35.0,97.2
440,701.0,3.8
441,673.0,9.7
442,463.0,28.4
443,701.0,1.8
444,673.0,9.7
445,701.0,4.0
446,701.0,1.1
447,701.0,2.3
448,373.0,38.4
449,701.0,4.1
450,204.0,70.1
451,199.0,71.2
452,66.0,93.6
453,100.0,88.7
454,701.0,1.2
455,171.0,75.8
456,701.0,1.2
457,701.0,1.2
458,77.0,92.1
459,701.0,1.1
460,701.0,2.3
461,393.0,35.8
462,126.0,83.7
463,379.0,37.8
464,574.0,17.2
465,504.0,23.9
466,701.0,4.9
467,567.0,18.0
468,701.0,1.3
469,357.0,41.4
470,701.0,2.2
471,305.0,50.6
472,263.0,57.4
473,463.0,28.4
474,701.0,1.0
475,,
476,701.0,1.1
477,701.0,3.4
478,701.0,1.3
479,627.0,13.7
480,38.0,96.8
481,53.0,95.0
482,661.0,10.6
483,612.0,15.0
484,701.0,3.0
485,695.0,8.4
486,701.0,1.1
487,695.0,8.4
488,701.0,1.1
489,701.0,6.5
490,502.0,24.1
491,701.0,5.4
492,693.0,8.6
493,701.0,1.1
494,652.0,11.6
495,617.0,14.5
496,701.0,1.0
497,11.0,99.5
498,471.0,27.6
499,701.0,2.2
500,167.0,77.3
501,701.0,1.1
502,44.0,96.1
503,327.0,46.6
504,639.0,12.4
505,275.0,55.2
506,701.0,1.2
507,560.0,18.4
508,701.0,1.0
509,701.0,3.2
510,367.0,39.0
511,701.0,2.5
512,58.0,94.7
513,316.0,48.4
514,438.0,30.7
515,701.0,4.1
516,536.0,20.9
517,44.0,96.1
518,177.0,74.8
519,133.0,82.7
520,61.0,94.4
521,210.0,69.3
522,523.0,22.0
523,701.0,1.0
524,701.0,6.5
525,345.0,42.6
526,72.0,93.1
527,97.0,88.8
528,318.0,47.8
529,701.0,6.9
530,701.0,1.2
531,584.0,16.7
532,432.0,31.0
533,701.0,4.1
534,84.0,91.3
535,574.0,17.2
536,701.0,1.0
537,540.0,20.5
538,701.0,1.0
539,701.0,1.3
540,701.0,2.0
541,701.0,8.0
542,621.0,14.2
543,678.0,9.6
544,701.0,1.2
545,327.0,46.6
546,312.0,49.4
547,64.0,94.2
548,701.0,1.0
549,160.0,78.2
550,701.0,1.0
551,701.0,4.1
552,701.0,1.0
553,235.0,62.8
554,128.0,83.5
555,701.0,1.4
556,701.0,3.9
557,146.0,80.4
558,323.0,47.2
559,701.0,5.9
560,701.0,2.7
561,25.0,97.9
562,685.0,9.2
563,701.0,1.0
564,701.0,2.5
565,701.0,2.3
566,683.0,9.4
567,631.0,13.4
568,60.0,94.6
569,297.0,51.5
570,128.0,83.5
571,94.0,89.8
572,701.0,1.1
573,701.0,6.5
574,342.0,43.5
575,701.0,1.1
576,108.0,87.4
577,481.0,26.6
578,701.0,1.6
579,186.0,73.3
580,196.0,71.5
581,222.0,66.0
582,701.0,7.3
583,701.0,1.3
584,701.0,3.0
585,189.0,72.5
586,701.0,1.2
587,123.0,84.3
588,277.0,54.9
589,701.0,3.4
590,453.0,29.4
591,701.0,1.4
592,701.0,4.0
593,701.0,1.0
594,351.0,42.3
595,26.0,97.8
596,155.0,79.3
597,463.0,28.4
598,84.0,91.3
599,403.0,34.6
600,345.0,42.6
601,701.0,1.3
602,701.0,4.2
603,560.0,18.4
604,36.0,97.1
605,701.0,1.2
606,370.0,38.7
607,701.0,1.0
608,701.0,1.4
609,288.0,53.4
610,701.0,1.0
611,217.0,66.8
612,555.0,18.8
613,196.0,71.5
614,701.0,1.2
615,279.0,54.6
616,694.0,8.5
617,1.0,100.0
618,656.0,11.0
619,232.0,63.1
620,592.0,16.1
621,614.0,14.9
622,387.0,37.2
623,295.0,51.8
624,182.0,73.6
625,701.0,2.9
626,701.0,1.3
627,137.0,81.7
628,133.0,82.7
629,382.0,37.5
630,382.0,37.5
631,701.0,2.2
632,640.0,12.3
633,701.0,1.4
634,141.0,81.3
635,142.0,81.1
636,131.0,83.3
637,701.0,1.1
638,397.0,35.5
639,301.0,50.9
640,701.0,1.1
641,701.0,2.3
642,171.0,75.8
643,701.0,1.4
644,701.0,1.0
645,701.0,1.0
646,660.0,10.7
647,331.0,46.0
648,137.0,81.7
649,279.0,54.6
650,524.0,21.8
651,586.0,16.5
652,624.0,14.0
653,299.0,51.2
654,701.0,3.6
655,377.0,38.1
656,571.0,17.8
657,103.0,88.4
658,524.0,21.8
659,301.0,50.9
660,701.0,1.2
661,449.0,29.9
662,701.0,3.0
663,701.0,5.6
664,701.0,1.0
665,389.0,36.3
666,701.0,1.5
667,669.0,9.8
668,701.0,1.2
669,327.0,46.6
670,297.0,51.5
671,701.0,4.7
672,701.0,1.0
673,701.0,1.7
674,701.0,5.6
675,263.0,57.4
676,701.0,1.0
677,428.0,31.3
678,603.0,15.4
679,320.0,47.5
680,701.0,1.3
681,438.0,30.7
682,631.0,13.4
