university_id,international Research Network rank,international Research Network score
896,701.0,3.1
897,701.0,1.6
898,566.0,17.6
899,223.0,63.5
900,512.0,23.5
901,701.0,1.1
902,701.0,4.1
903,701.0,2.0
904,701.0,1.0
905,81.0,90.0
906,701.0,2.3
907,701.0,1.5
908,701.0,1.7
909,46.0,95.5
910,378.0,40.1
911,625.0,13.0
912,701.0,1.6
913,456.0,30.4
914,701.0,1.0
915,701.0,2.7
916,701.0,1.0
917,516.0,23.3
918,701.0,2.8
919,663.0,10.5
920,411.0,36.1
921,564.0,17.8
922,152.0,79.2
923,701.0,1.1
924,701.0,1.3
925,501.0,24.7
926,701.0,1.1
927,701.0,3.0
928,701.0,1.0
929,609.0,14.3
930,443.0,32.2
931,28.0,97.4
932,408.0,36.4
933,701.0,1.0
934,57.0,94.4
935,701.0,1.0
936,701.0,1.2
937,528.0,21.9
938,701.0,1.1
939,701.0,5.2
940,381.0,39.6
941,490.0,26.2
942,701.0,1.1
943,701.0,1.0
944,701.0,7.9
945,426.0,34.0
946,607.0,14.4
947,701.0,6.9
948,239.0,61.0
949,701.0,1.2
950,592.0,15.3
951,367.0,41.2
952,518.0,23.2
953,108.0,86.2
954,701.0,1.6
955,701.0,1.7
956,582.0,16.3
957,147.0,79.4
958,503.0,24.6
959,701.0,1.5
960,701.0,8.2
961,701.0,1.4
962,701.0,5.7
963,701.0,1.0
964,701.0,2.3
965,453.0,31.0
966,379.0,40.1
967,200.0,69.3
968,701.0,2.1
969,89.0,89.1
970,523.0,22.5
971,209.0,67.6
972,701.0,1.1
973,546.0,19.6
974,51.0,95.3
975,249.0,59.3
976,321.0,48.7
977,701.0,1.9
978,701.0,1.4
979,597.0,15.1
980,280.0,55.4
981,701.0,2.3
982,234.0,61.7
983,58.0,94.3
984,640.0,11.6
985,375.0,40.2
986,701.0,1.0
987,701.0,3.6
988,701.0,2.2
989,403.0,36.8
990,30.0,97.2
991,701.0,1.0
992,701.0,1.0
993,184.0,72.8
994,701.0,1.0
995,701.0,7.4
996,659.0,10.7
997,701.0,1.0
998,701.0,3.0
999,135.0,82.0
1000,701.0,1.1
1001,701.0,1.4
1002,701.0,2.2
1003,510.0,23.8
1004,231.0,62.3
1005,153.0,78.8
1006,20.0,98.2
1007,628.0,12.8
1008,674.0,9.7
1009,423.0,34.5
1010,701.0,1.0
1011,261.0,57.8
1012,701.0,5.1
1013,240.0,60.6
1014,701.0,1.3
1015,701.0,1.0
1016,701.0,1.2
1017,701.0,1.1
1018,689.0,9.2
1019,482.0,27.1
1020,701.0,1.0
1021,594.0,15.3
1022,584.0,16.1
1023,701.0,3.8
1024,213.0,65.6
1025,344.0,45.2
1026,701.0,1.2
1027,56.0,94.8
1028,118.0,84.9
1029,65.0,92.4
1030,419.0,35.1
1031,701.0,1.4
1032,638.0,11.8
1033,50.0,95.4
1034,507.0,23.9
