university_id,employer reputation rank,employer reputation score
633,444.0,20.2
109,445.0,20.1
178,446.0,20.1
613,447.0,20.1
660,448.0,20.0
66,449.0,19.9
248,450.0,19.9
150,451.0,19.9
503,452.0,19.8
411,453.0,19.8
396,454.0,19.8
524,455.0,19.8
604,456.0,19.7
268,457.0,19.7
133,458.0,19.7
534,459.0,19.6
735,460.0,19.5
266,461.0,19.4
517,462.0,19.3
716,463.0,19.3
704,464.0,19.3
241,465.0,19.2
651,466.0,19.1
53,468.0,19.0
676,469.0,19.0
403,470.0,19.0
661,471.0,19.0
420,472.0,18.9
726,473.0,18.9
658,474.0,18.9
243,475.0,18.9
741,476.0,18.7
254,477.0,18.7
540,479.0,18.6
440,480.0,18.6
480,481.0,18.6
384,482.0,18.5
615,483.0,18.5
321,484.0,18.4
390,485.0,18.4
152,486.0,18.3
383,487.0,18.3
679,488.0,18.3
25,489.0,18.2
360,490.0,18.2
151,491.0,18.2
621,492.0,18.1
433,493.0,18.1
552,494.0,18.1
52,495.0,18.0
585,497.0,18.0
273,498.0,17.9
104,499.0,17.9
167,500.0,17.9
