name,overall rank,overall score,academic reputation rank,academic reputation score,employer reputation rank,employer reputation score,faculty student rank,faculty student score,citations per faculty rank,citations per faculty score,international faculty rank,international faculty score,international students rank,international students score,international Research Network rank,international Research Network score,employment outcomes rank,employment outcomes score,sustainability rank,sustainability score
Uppsala University,128,54.3,107,63.6,351,27.4,357,43.4,314,43.4,137,95.3,182,74.7,36,97.1,263,48.5,n/a,n/a
Purdue University,129,54.2,109,62.7,88,73.1,601+,11.7,141,70.9,345,51.7,300,48.4,119,92.2,173,63.8,n/a,n/a
Universiti Kebangsaan Malaysia (UKM),130,54.2,126,57.9,122,62,70,93.1,601+,9.4,393,42.8,353,38.7,369,76.5,601+,5.6,n/a,n/a
Humboldt-Universität zu Berlin,131,54.1,43,90.1,144,55.6,601+,8.7,434,29.5,314,58.1,397,33.9,133,91.4,476,26,n/a,n/a
Leiden University,132,54.1,94,68.1,409,23.4,601+,22.2,169,65.8,202,85.1,308,47.2,80,94.7,416,30,n/a,n/a
Nanjing University,133,53.9,127,57.7,501+,17.7,478,32.3,39,96.1,337,54,601+,8.2,400,74.9,423,29.6,n/a,n/a
University of Southern California,134,53.7,142,54.6,131,59.1,535,28.4,138,71.7,434,36.1,164,77.4,180,89.2,44,94.8,n/a,n/a
Kyushu University,135,53.5,133,56.6,113,65,110,84.9,466,26.8,601+,15.1,530,20.7,502,66.1,543,22.4,n/a,n/a
University of Basel,136,53.3,304,28,357,26.8,293,53.8,43,95.7,31,100,138,84.1,158,90.1,233,52.7,n/a,n/a
University of Technology Sydney,137,53.2,199,41.8,110,66.1,601+,9.6,63,90.4,142,94.6,63,97.6,176,89.5,326,39.9,n/a,n/a
Eindhoven University of Technology,138,52.7,296,28.9,89,72.8,312,50.5,116,78.2,45,100,251,56.9,436,72.3,279,45.1,n/a,n/a
Politecnico di Milano,139,52.4,96,67.8,80,76.8,601+,5.4,239,53.5,319,57.5,264,54.3,200,87.8,328,39.7,n/a,n/a
The Ohio State University,140,52,113,61.1,121,62.2,308,51.1,396,34.6,297,63,600,16.2,49,96.5,309,41.9,n/a,n/a
Hokkaido University,141,51.9,136,55.6,127,60.7,151,77.8,430,30,601+,18.3,574,17.2,429,72.8,601+,16.7,n/a,n/a
"KIT, Karlsruhe Institute of Technology",142,51.9,185,44.7,105,67.7,462,33.3,133,72,266,68.6,288,50.6,171,89.6,220,54.3,n/a,n/a
Ghent University,143,51.6,144,54,323,30.1,121,83.2,465,26.9,250,72.5,520,21.4,12,99.1,494,24.8,n/a,n/a
Universiti Sains Malaysia (USM),144,51.6,118,59.7,108,66.6,220,65.2,601+,13.4,522,25.4,179,75.3,327,79.6,601+,6,n/a,n/a
University of Groningen,145,51.4,148,51.6,431,21.6,286,54.4,330,42.2,151,93.4,124,86.9,54,96.3,569,20.9,n/a,n/a
Lancaster University,146,51.2,215,39.6,325,30,492,31.5,103,82.2,154,93.3,86,94.5,186,88.9,448,28.3,n/a,n/a
RWTH Aachen University,147,51.1,157,49.5,57,88.7,601+,5.4,129,73.3,364,48.3,151,81.1,255,84.1,405,30.8,n/a,n/a
University of Rochester,148,51.1,356,23.8,459,20.1,36,99.3,230,55,238,74.9,78,95.1,389,75.1,273,46.5,n/a,n/a
"University of California, Santa Barbara (UCSB)",149,50.9,135,55.9,399,24,601+,10.6,30,97.2,317,57.8,444,28.4,343,78.4,601+,15.6,n/a,n/a
Al-Farabi Kazakh National University,150,50.8,159,49.1,79,76.9,46,98.3,601+,1.3,470,30.5,393,34.6,601+,35.3,601+,12.3,n/a,n/a
University of Vienna,151,50.6,89,69.4,148,55.3,596,24.2,601+,14.1,96,98.9,112,89.2,48,96.6,126,73,n/a,n/a
McMaster University,152,50.4,212,39.9,170,50.2,112,84.7,535,21.3,85,99.3,241,59.2,324,79.8,301,42.9,n/a,n/a
Stockholm University,153,50.1,143,54.5,501+,17.7,525,29.2,189,62.5,213,82,169,77.1,33,97.3,141,69.3,n/a,n/a
University of Waterloo,154,50,209,40.2,76,77.6,601+,7,101,82.5,222,79,149,82,263,83.6,78,87.7,n/a,n/a
Emory University,155,49.5,336,25.2,501+,15.7,40,99.1,154,68.7,351,50.1,420,31.1,201,87.7,287,44.5,n/a,n/a
Indian Institute of Science,156,49.5,223,37.6,416,22.9,276,56.3,1,100,601+,11.7,601+,1.9,601+,46,601+,14.8,n/a,n/a
Hanyang University,157,49.4,182,45,73,79.1,119,83.2,588,17.6,594,18.8,315,43.8,480,68,374,33.9,n/a,n/a
Technische Universität Berlin (TU Berlin),158,49.3,140,55.1,115,64.9,321,48.5,509,23.6,376,46.1,180,75,268,83.2,397,31.6,n/a,n/a
Michigan State University,159,48.9,114,60.5,124,61.4,601+,12.9,210,58.9,303,62.1,584,16.9,107,93.2,229,53.6,n/a,n/a
King Fahd University of Petroleum & Minerals,160,48.8,284,30.3,385,24.9,95,88.5,253,50.9,26,100,508,21.8,458,70.2,156,66.7,n/a,n/a
Aarhus University,161,48.6,138,55.6,291,33.5,476,32.4,226,55.2,184,87.9,598,16.3,65,95.4,380,33.5,n/a,n/a
University of York,162,48.4,191,43.3,268,36.1,343,45,270,48.6,183,88.1,147,82.1,187,88.9,511,23.7,n/a,n/a
University of Exeter,163,48.2,201,41.1,142,56.1,491,31.5,224,55.3,162,92.3,163,77.7,77,94.8,601+,15.9,n/a,n/a
Texas A&M University,164,47.9,112,61.5,112,65,601+,5,161,67.8,527,24.8,601+,14.7,140,91.1,356,36.3,n/a,n/a
"University of Maryland, College Park",165,47.9,151,51.2,275,35.6,418,37.1,140,71.1,534,23.8,601+,14.9,112,92.6,185,61.4,n/a,n/a
Cardiff University,166,47.8,177,46,191,47.7,390,40.3,336,41.8,207,84.1,183,74.7,132,91.4,599,19.5,n/a,n/a
Alma Mater Studiorum - University of Bologna,167,47.5,73,78.5,219,43.1,601+,3.5,263,49.7,601+,7.8,601+,10.8,74,95.1,322,40.7,n/a,n/a
Universidad de Chile,168,47.5,69,80,47,92,601+,12.5,601+,13.9,601+,9.4,601+,5.6,355,77.4,304,42.6,n/a,n/a
Eberhard Karls Universität Tübingen,169,47.2,184,44.7,440,21,55,96.7,601+,14.9,277,67,460,26.1,50,96.5,601+,16.6,n/a,n/a
Tecnológico de Monterrey,170,47.1,164,48.8,43,92.8,170,72.9,601+,2.2,339,52.9,601+,8.6,508,65.1,82,85.6,n/a,n/a
Sapienza University of Rome,171,46.8,74,78,262,36.6,601+,4.5,258,50.2,601+,3.4,601+,11.4,23,98,209,55.8,n/a,n/a
Indian Institute of Technology Bombay (IITB),172,46.7,145,53.3,59,86.5,572,25.8,228,55.1,601+,3.9,601+,1.6,593,58,115,76.7,n/a,n/a
Western University,173,46.7,280,30.6,129,60.5,601+,4.6,32,96.9,72,99.8,250,57.2,225,86,101,81,n/a,n/a
Ecole des Ponts ParisTech,174,46.5,501+,8.4,147,55.3,53,97.4,219,56.7,431,36.3,79,95,601+,43.8,68,90.4,n/a,n/a
Indian Institute of Technology Delhi (IITD),175,46.5,161,49,72,79.2,543,27.7,176,65.2,601+,2.6,601+,1.7,601+,42.2,84,84.8,n/a,n/a
Case Western Reserve University,176,46.2,471,18.3,458,20.2,90,89.1,172,65.8,366,47.8,220,64.6,433,72.5,319,40.9,n/a,n/a
National Tsing Hua University,177,45.9,149,51.3,100,69,449,34.4,279,47.7,601+,17.7,552,19.1,601+,35.8,601+,5.5,n/a,n/a
Universitat Autònoma de Barcelona,178,45.8,111,62.2,336,28.9,601+,11.8,164,66.9,574,20.7,535,20.2,91,94.1,590,20,n/a,n/a
Technische Universität Wien,179,45.7,274,30.9,169,50.3,601+,12.3,83,86.6,221,79.7,127,86.7,366,76.7,426,29.5,n/a,n/a
University of Bath,180,45.7,247,34.4,102,68.9,601+,19.9,205,59.1,120,97.4,143,83.6,344,78.2,317,41,n/a,n/a
Khalifa University,181,45.6,501+,16.6,501+,15.2,80,91.7,248,51.9,10,100,204,69.7,430,72.8,601+,15.8,n/a,n/a
University College Dublin,182,45.6,165,48.7,204,46.8,601+,22.5,320,43,103,98.7,223,63.1,203,87.6,170,64.4,n/a,n/a
University of Pittsburgh,183,45.6,211,39.9,501+,16.3,58,96.3,373,37.4,601+,7.9,601+,13.8,152,90.3,293,44,n/a,n/a
Universitat de Barcelona,184,45.5,84,71.9,343,28.1,601+,13.6,305,44.5,601+,14.6,458,26.5,42,96.9,230,53.5,n/a,n/a
University of Gothenburg,185,45.4,228,37.4,462,20.1,216,66.1,399,34.4,192,86.9,185,74.4,76,94.9,262,48.7,n/a,n/a
University of Minnesota Twin Cities,186,45.4,116,60.1,341,28.2,403,38.2,269,49.2,601+,7.1,601+,10.1,31,97.6,218,54.5,n/a,n/a
University of Wollongong,187,45.4,290,29.4,286,34.1,601+,20.9,74,88,149,93.9,200,70.1,131,91.4,504,24.2,n/a,n/a
University of Florida,188,45.3,166,48.5,201,47,177,71.4,470,26.4,601+,17.5,601+,11.3,22,98,224,54,n/a,n/a
Albert-Ludwigs-Universitaet Freiburg,189,45.2,170,47.4,487,18.6,426,36.5,217,57.3,272,67.6,339,41,184,89,601+,19.3,n/a,n/a
RMIT University,190,44.6,234,36.6,146,55.5,601+,6.7,167,66,35,100,91,93.4,229,85.8,316,41,n/a,n/a
University of Liverpool,191,44.6,194,42.7,283,34.3,377,41.5,406,33.7,189,87.5,118,88.5,21,98.1,335,38.9,n/a,n/a
"The University of Newcastle, Australia (UON)",192,44.5,294,29.1,374,25.7,455,34.1,80,86.7,68,99.9,567,17.6,339,78.6,280,45.1,n/a,n/a
Curtin University,193,44.4,282,30.5,227,41.2,601+,13.9,67,89.4,40,100,314,44,94,93.7,586,20.1,n/a,n/a
Wuhan University,194,44.3,219,38.8,141,56.6,601+,13.8,73,88.1,396,42.4,601+,7.2,428,72.8,387,32.7,n/a,n/a
