name,overall rank,overall score,academic reputation rank,academic reputation score,employer reputation rank,employer reputation score,faculty student rank,faculty student score,citations per faculty rank,citations per faculty score,international faculty rank,international faculty score,international students rank,international students score,international Research Network rank,international Research Network score,employment outcomes rank,employment outcomes score,sustainability rank,sustainability score
University of Bern,121,56.1,277,30.4,271,35,206,67.5,26,97.6,43,100,325,44,n/a,n/a,n/a,n/a,n/a,n/a
The Ohio State University,122,56,110,61.9,109,64.2,261,58.7,350,39.3,209,76.9,501,23.2,n/a,n/a,n/a,n/a,n/a,n/a
Chalmers University of Technology,123,55.9,292,28.8,118,62.9,189,70.2,111,76.1,49,100,184,72.4,n/a,n/a,n/a,n/a,n/a,n/a
Universidade de São Paulo,124,55.9,45,90.1,94,71.3,601+,18.8,329,42.3,601+,2.4,601+,3,n/a,n/a,n/a,n/a,n/a,n/a
Wageningen University & Research,125,55.8,191,42.8,393,24.9,47,97.9,250,53.4,342,35.7,159,78.5,n/a,n/a,n/a,n/a,n/a,n/a
Uppsala University,126,55.4,105,65.1,285,33,406,38.9,249,53.4,183,86.3,230,60.4,n/a,n/a,n/a,n/a,n/a,n/a
Eindhoven University of Technology,127,55.3,286,29.9,77,78.9,283,54.3,79,85.9,54,100,322,44.1,n/a,n/a,n/a,n/a,n/a,n/a
University of Alberta,128,55.2,142,53.7,192,47.4,326,48.2,257,52.7,170,90,150,81.4,n/a,n/a,n/a,n/a,n/a,n/a
Freie Universitaet Berlin,129,54.9,66,80.9,165,51.8,601+,3.5,219,57.8,287,50.5,309,46.5,n/a,n/a,n/a,n/a,n/a,n/a
Humboldt-Universität zu Berlin,130,54.8,42,90.3,114,63.5,601+,9.2,407,33.1,328,39.8,403,33,n/a,n/a,n/a,n/a,n/a,n/a
University of Groningen,131,54.8,150,51.1,332,29.1,239,62.2,287,49.3,154,92.6,132,86.2,n/a,n/a,n/a,n/a,n/a,n/a
École Normale Supérieure de Lyon,132,54.6,257,32.8,501+,12.4,50,97.2,83,85.3,279,51.8,559,18.5,n/a,n/a,n/a,n/a,n/a,n/a
Nanjing University,133,54.2,118,59.6,500,17.7,511,30.1,32,96.4,278,52,601+,9.2,n/a,n/a,n/a,n/a,n/a,n/a
Lancaster University,134,54,204,41.2,283,33.2,402,39.2,89,82.6,140,94.6,72,97.1,n/a,n/a,n/a,n/a,n/a,n/a
University of Technology Sydney,135,53.9,182,44.4,93,71.8,601+,8.9,77,86.3,111,98.6,80,95.2,n/a,n/a,n/a,n/a,n/a,n/a
Newcastle University,136,53.8,172,45.8,68,80.8,364,43.3,291,48.2,156,92.2,135,85.8,n/a,n/a,n/a,n/a,n/a,n/a
