name,overall rank,overall score,academic reputation rank,academic reputation score,employer reputation rank,employer reputation score,faculty student rank,faculty student score,citations per faculty rank,citations per faculty score,international faculty rank,international faculty score,international students rank,international students score,international Research Network rank,international Research Network score,employment outcomes rank,employment outcomes score,sustainability rank,sustainability score
Durham University,78,65.1,124,59.5,50,89.3,548,27.8,241,53.3,125,97.5,135,86.9,108,86.2,274,29.2,=30,97.6
Korea University,79,64.7,64,82.2,40,94,137,81,382,36.6,694,13.6,370,36.3,546,19.6,71,70.6,=255,58.6
Osaka University,80,63.9,67,81.3,51,89.1,272,55.3,191,62.7,498,28.6,658,13.2,486,26.7,361,23.4,=255,58.6
"Trinity College Dublin, The University of Dublin",81,63.5,92,69.3,238,39.8,601,23.7,184,64.1,79,99.8,104,92.5,132,82.2,70,70.6,=173,75.6
University of Southampton,82,63.5,154,51.5,160,51.2,298,52.8,140,71.4,138,96.1,70,97.4,31,97,235,32.5,=133,82.7
Pennsylvania State University,83,63.1,76,77.5,126,63,540,28.4,189,62.9,560,23.4,449,26.8,36,96.6,145,47.5,52,95.1
University of Birmingham,84,63,99,67.5,81,75.7,379,41.3,364,38.2,169,92.3,148,83.9,41,96,270,29.5,=146,80.4
Lund University,85,62.8,93,69.3,185,47.5,310,50.2,373,37.7,102,98.8,173,77.4,52,95.2,83,66,14,99.1
Universidade de São Paulo,86,62.8,41,92.4,66,82.9,688,19.2,434,29.9,701+,6,701+,2.3,76,90.9,36,89.7,=44,96.1
Lomonosov Moscow State University,87,62.2,69,81.2,74,78.3,26,99.8,701+,4.6,587,20.3,105,92.3,115,85.2,48,82.2,=631,13.4
Universität Heidelberg,88,62.2,75,78.3,156,52,29,99.7,365,38.2,349,52.5,290,50.4,88,89.7,423,19.8,=345,42.6
The University of Adelaide,89,62,144,54.2,267,36.5,701+,16.2,83,87.1,69,100,40,99.6,154,78.8,191,38.4,42,96.3
University of Technology Sydney,90,61.8,195,43.4,143,57.8,701+,9,52,95.3,132,96.6,95,93.6,146,79.7,260,30.1,72,93.1
Tokyo Institute of Technology (Tokyo Tech),91,61.6,79,74.4,39,94.8,109,84.4,244,53,475,31.8,404,31.7,701+,8.9,425,19.7,=567,18
University of Zurich,92,61.6,126,59.1,352,27.6,88,89.9,248,52,60,100,274,53,100,87.2,58,75.2,149,80.2
Boston University,93,61.4,113,61.7,109,68.3,485,32.7,204,60.1,576,21.6,132,87.5,187,72.6,76,68.6,=113,85.9
Universidad Nacional Autónoma de México  (UNAM),94,61.4,28,96.6,18,98.2,397,39.8,701+,2.7,701+,8.3,701+,2.5,120,84.5,78,68.4,=101,88.5
Universidad de Buenos Aires (UBA),95,61,36,93.3,20,98,170,73.5,701+,1.7,309,62.6,224,66.7,470,28.1,311,26.2,=555,18.8
University of St Andrews,96,61,173,47.3,114,67.2,212,64.9,223,57.7,103,98.7,29,100,306,51.1,370,22.4,=77,92.1
