university_id,overall rank,overall score,academic reputation rank,academic reputation score,employer reputation rank,employer reputation score,faculty student rank,faculty student score,citations per faculty rank,citations per faculty score,international faculty rank,international faculty score,international students rank,international students score,international Research Network rank,international Research Network score,employment outcomes rank,employment outcomes score,sustainability rank,sustainability score
118,1311,,501,7.0,501,2.2,601,3.4,601,1.9,601.0,3.4,601.0,2.0,601.0,5.0,601.0,3.7,,
119,662,,501,6.9,501,3.0,601,15.6,218,56.9,601.0,9.1,601.0,2.2,568.0,60.0,601.0,10.0,,
120,271,37.2,344,24.9,239,39.0,107,85.7,601,13.3,601.0,15.3,279.0,52.4,530.0,63.1,601.0,10.2,,
121,1122,,501,5.7,501,10.3,568,26.0,601,1.1,601.0,6.7,601.0,2.0,601.0,21.0,429.0,29.5,,
122,1231,,501,6.0,501,9.1,601,5.4,601,1.6,601.0,1.3,601.0,1.8,601.0,36.9,601.0,4.8,,
123,326,33.1,328,25.9,224,41.8,601,18.8,409,33.4,156.0,93.1,216.0,65.8,322.0,80.0,483.0,25.5,,
124,321,33.7,271,31.0,184,48.4,272,57.1,601,5.3,372.0,46.4,430.0,29.5,510.0,65.0,601.0,11.7,,
125,722,,501,2.5,501,3.4,601,5.9,342,41.4,399.0,42.1,131.0,86.3,601.0,27.5,601.0,17.0,,
126,187,45.4,290,29.4,286,34.1,601,20.9,74,88.0,149.0,93.9,200.0,70.1,131.0,91.4,504.0,24.2,,
127,134,53.7,142,54.6,131,59.1,535,28.4,138,71.7,434.0,36.1,164.0,77.4,180.0,89.2,44.0,94.8,,
128,749,,501,11.7,501,8.3,601,6.3,601,7.2,223.0,78.2,24.0,99.9,601.0,41.1,420.0,29.8,,
129,167,47.5,73,78.5,219,43.1,601,3.5,263,49.7,601.0,7.8,601.0,10.8,74.0,95.1,322.0,40.7,,
130,555,,501,14.4,501,10.3,242,62.4,601,10.8,601.0,8.7,601.0,8.3,601.0,40.6,601.0,6.2,,
131,356,30.7,405,20.6,486,18.7,601,8.6,308,44.3,121.0,97.3,39.0,99.5,488.0,67.6,308.0,42.3,,
132,364,30.2,188,43.8,118,63.2,545,27.7,601,1.8,601.0,4.3,601.0,1.5,601.0,34.5,260.0,48.9,,
133,222,41.5,217,39.5,234,40.0,601,7.7,177,65.1,118.0,97.5,335.0,41.4,162.0,90.0,547.0,22.1,,
134,955,,441,19.4,285,34.2,601,12.9,601,2.4,601.0,1.8,601.0,1.1,601.0,27.6,205.0,56.3,,
135,1371,,501,10.2,501,8.6,601,3.4,601,2.9,601.0,1.2,601.0,1.2,601.0,14.7,140.0,69.6,,
136,681,,501,11.4,501,14.4,601,19.4,601,13.7,11.0,100.0,509.0,21.8,601.0,21.1,601.0,14.6,,
137,145,51.4,148,51.6,431,21.6,286,54.4,330,42.2,151.0,93.4,124.0,86.9,54.0,96.3,569.0,20.9,,
138,175,46.5,161,49.0,72,79.2,543,27.7,176,65.2,601.0,2.6,601.0,1.7,601.0,42.2,84.0,84.8,,
139,71,67.7,169,47.4,98,69.4,15,100.0,26,98.0,444.0,34.7,601.0,2.9,601.0,30.9,215.0,54.8,,
140,1018,,501,9.5,501,5.4,601,16.3,601,2.3,595.0,18.8,601.0,2.7,466.0,69.3,601.0,5.1,,
