university_id,academic reputation rank,academic reputation score
1048,138,55.4
624,138,55.5
681,139,54.8
598,140,54.5
163,141,54.5
760,142,53.7
223,143,53.6
684,144,53.3
1123,145,52.4
648,146,51.9
628,147,51.5
774,148,51.3
40,149,51.2
238,150,51.1
137,150,51.1
236,152,50.8
649,153,50.8
993,154,50.7
291,155,50.6
103,156,50.5
899,157,50.2
1018,158,50.2
824,159,49.9
458,160,49.7
844,161,49.7
873,162,49.6
725,163,48.7
968,164,47.8
502,165,47.3
561,166,47.2
669,167,46.8
452,168,46.7
150,169,46.7
1055,170,46.5
594,171,46.0
703,172,45.8
138,173,45.8
157,174,45.7
481,175,45.7
1040,176,45.5
1071,177,45.3
465,178,45.3
1143,179,45.2
790,180,45.0
526,182,44.4
401,183,44.4
139,184,44.3
903,185,44.1
229,186,44.1
429,187,43.9
553,188,43.5
2,189,43.2
707,190,42.8
92,191,42.8
869,192,42.7
611,193,42.4
742,194,42.3
621,195,42.2
866,196,42.0
133,197,42.0
846,198,41.5
414,199,41.4
201,200,41.4
574,201,41.3
58,202,41.3
580,203,41.3
27,204,41.2
323,205,41.2
363,206,41.0
971,207,40.5
747,208,40.3
1080,209,40.0
347,210,40.0
132,211,39.9
450,212,39.9
604,213,39.6
765,214,39.2
734,215,39.2
187,215,39.2
1103,216,38.6
976,217,38.6
500,218,38.6
751,219,38.5
205,220,38.0
317,221,37.9
3,222,37.8
472,223,37.8
225,224,37.6
1119,225,37.6
1067,226,37.5
780,227,37.1
970,228,37.0
275,229,36.8
1141,230,36.6
619,231,36.5
289,232,36.2
489,233,36.1
546,234,35.6
825,235,35.4
100,236,35.3
999,237,35.2
106,238,35.2
659,239,34.9
513,240,34.8
72,240,34.8
849,242,34.7
646,243,34.2
967,244,34.2
587,245,34.2
606,246,33.9
76,247,33.8
777,248,33.8
778,249,33.7
234,250,33.7
841,252,33.2
579,253,33.1
813,254,33.1
183,255,32.9
826,256,32.9
32,257,32.8
823,258,32.8
1131,259,32.6
1135,261,32.5
635,262,32.5
431,263,32.4
300,263,32.4
588,265,32.1
907,266,32.1
642,267,32.0
735,268,31.3
471,269,31.2
74,270,31.0
124,271,30.9
322,272,30.8
331,272,30.8
209,274,30.8
1140,275,30.7
59,276,30.4
969,277,30.4
126,278,30.4
87,279,30.3
208,280,30.2
925,281,30.1
427,282,30.1
77,283,30.1
89,284,30.1
512,285,29.9
467,286,29.9
1133,287,29.3
1058,289,28.9
210,290,28.9
726,291,28.8
878,292,28.8
679,293,28.8
241,294,28.7
1082,295,28.7
1005,296,28.6
716,297,28.5
966,298,28.3
116,299,28.2
804,300,28.1
996,301,28.0
599,302,28.0
5,303,27.8
687,304,27.8
430,305,27.8
1068,306,27.7
385,307,27.6
365,308,27.4
19,309,27.4
271,310,27.4
677,311,27.2
948,312,27.2
1130,313,27.1
390,314,27.0
1108,315,26.8
796,316,26.8
83,317,26.6
284,318,26.6
123,319,26.6
120,320,26.4
356,321,26.3
1007,322,26.2
439,323,26.2
10,324,26.0
699,325,26.0
653,326,25.9
738,327,25.9
577,328,25.8
46,329,25.7
51,330,25.7
812,331,25.5
329,332,25.5
930,333,25.4
175,334,25.4
975,335,25.3
268,336,25.2
622,337,25.2
181,338,25.2
260,339,25.2
745,340,25.0
615,341,25.0
1029,342,24.9
806,343,24.9
1009,344,24.7
13,345,24.5
830,346,24.4
845,347,24.3
6,348,24.2
346,349,24.1
741,350,24.0
264,351,24.0
1072,351,24.0
690,353,23.9
569,354,23.6
335,355,23.6
704,356,23.5
1052,357,23.4
566,358,23.3
393,359,23.2
590,360,23.2
989,361,23.1
1090,362,23.1
905,362,23.1
529,364,23.0
60,365,22.9
239,366,22.9
803,367,22.8
920,368,22.8
412,369,22.6
818,370,22.6
694,371,22.5
1004,372,22.5
164,373,22.4
1106,374,22.4
753,375,22.4
852,376,22.3
693,377,22.3
182,378,22.3
545,379,22.1
882,380,22.0
479,381,21.9
892,382,21.8
1109,383,21.8
14,384,21.8
638,385,21.6
143,386,21.5
242,387,21.5
377,388,21.4
195,389,21.4
811,390,21.4
1084,391,21.2
1073,392,21.1
49,393,21.1
364,394,21.0
426,395,21.0
737,396,21.0
1056,397,20.8
39,398,20.7
448,399,20.7
243,400,20.7
380,401,20.7
326,402,20.7
980,403,20.6
145,403,20.6
1101,405,20.5
435,406,20.5
842,407,20.4
449,408,20.4
131,409,20.4
1006,410,20.4
376,411,20.3
613,412,20.3
309,413,20.2
961,414,20.2
176,415,20.2
88,416,20.1
835,417,20.1
576,418,20.1
224,419,20.1
809,420,20.1
68,421,20.0
287,422,20.0
762,423,20.0
104,424,19.9
155,424,19.9
461,426,19.9
950,427,19.8
902,428,19.7
423,429,19.7
620,429,19.7
18,431,19.7
415,432,19.7
639,433,19.6
384,434,19.6
154,435,19.5
453,436,19.5
784,437,19.5
1025,437,19.5
650,439,19.4
226,440,19.4
1134,441,19.3
623,442,19.3
248,443,19.2
255,444,19.2
468,445,19.1
463,446,19.1
944,447,19.1
528,448,19.0
982,448,19.0
33,450,19.0
662,451,18.9
589,452,18.9
641,453,18.9
117,454,18.9
943,455,18.9
917,456,18.8
822,457,18.7
214,458,18.7
560,459,18.7
520,460,18.7
47,461,18.5
759,462,18.5
535,463,18.5
661,464,18.5
1016,465,18.4
586,466,18.3
600,467,18.2
689,468,18.2
709,469,18.1
871,470,18.1
900,471,18.1
102,472,18.0
369,473,18.0
134,474,17.9
503,475,17.9
544,476,17.8
924,477,17.8
558,478,17.8
1043,479,17.7
297,480,17.7
655,481,17.7
941,482,17.7
695,483,17.5
1054,484,17.5
807,485,17.5
245,486,17.5
940,487,17.4
