university_id,overall rank,overall score,academic reputation rank,academic reputation score,employer reputation rank,employer reputation score,faculty student rank,faculty student score,citations per faculty rank,citations per faculty score,international faculty rank,international faculty score,international students rank,international students score,international Research Network rank,international Research Network score,employment outcomes rank,employment outcomes score,sustainability rank,sustainability score
107,1165,,501,5.8,501,6.4,546,27.7,601,2.2,601.0,1.6,601.0,5.9,,,,,,
108,859,,501,7.1,501,11.3,331,47.4,601,1.7,601.0,1.0,601.0,1.7,,,,,,
109,1141,,501,4.9,501,2.4,601,15.8,601,8.5,601.0,1.4,601.0,2.0,,,,,,
110,791,,501,15.3,391,24.9,601,3.5,480,26.5,594.0,5.9,601.0,5.1,,,,,,
111,1109,,501,6.2,501,7.1,601,8.4,601,6.6,295.0,46.1,601.0,1.9,,,,,,
112,1097,,501,8.2,501,7.4,601,8.1,601,11.6,392.0,24.0,493.0,23.7,,,,,,
113,1134,,501,5.5,475,18.8,601,13.4,601,2.5,601.0,2.7,601.0,2.0,,,,,,
114,1059,,501,3.3,501,4.7,569,25.8,601,8.1,601.0,2.0,601.0,3.6,,,,,,
115,388,28.8,501,15.3,501,16.8,145,78.6,601,13.3,329.0,39.5,601.0,11.0,,,,,,
116,541,,299,28.2,204,45.9,491,31.4,601,1.8,,,,,,,,,,
117,803,,454,18.9,501,15.0,601,8.7,601,1.9,496.0,11.4,601.0,3.8,,,,,,
118,1261,,501,6.8,501,2.7,601,3.6,601,1.8,601.0,1.4,601.0,2.1,,,,,,
119,653,,501,6.9,501,3.1,601,14.6,190,61.6,601.0,1.5,601.0,2.4,,,,,,
120,265,37.2,320,26.4,272,34.9,108,85.5,601,15.2,601.0,4.2,281.0,51.9,,,,,,
121,1121,,501,5.7,501,6.9,601,22.6,601,1.1,,,601.0,1.6,,,,,,
122,1215,,501,5.8,501,7.2,601,5.1,601,1.5,601.0,1.0,601.0,2.2,,,,,,
123,303,34.4,319,26.6,202,46.3,601,20.4,420,31.7,151.0,93.3,163.0,78.3,,,,,,
124,353,31.3,271,30.9,189,47.5,280,54.8,601,6.4,444.0,16.0,544.0,20.2,,,,,,
125,730,,501,2.9,501,3.8,601,6.3,366,37.8,383.0,26.0,107.0,90.1,,,,,,
126,194,44.9,278,30.4,253,37.5,601,20.1,90,82.3,164.0,90.8,167.0,76.4,,,,,,
127,117,57.0,132,56.2,121,60.9,424,37.1,110,77.5,395.0,23.4,148.0,81.7,,,,,,
128,746,,501,10.1,501,8.7,601,6.1,601,10.8,215.0,73.6,23.0,100.0,,,,,,
129,167,47.7,71,77.5,199,46.6,601,3.8,264,51.8,601.0,4.7,601.0,10.3,,,,,,
