university_id,employment outcomes rank,employment outcomes score
486,601.0,4.1
487,601.0,9.0
488,213.0,55.2
489,118.0,76.1
490,601.0,15.6
491,601.0,11.3
492,601.0,9.7
493,303.0,42.6
494,601.0,12.3
495,601.0,14.2
496,116.0,76.4
497,430.0,29.4
498,375.0,33.9
499,601.0,4.0
500,211.0,55.4
501,36.0,96.9
502,100.0,81.4
503,601.0,11.6
504,601.0,5.3
505,601.0,7.4
506,183.0,61.7
507,562.0,21.1
508,,
509,578.0,20.4
510,423.0,29.6
511,532.0,22.8
512,392.0,32.5
513,317.0,41.0
514,601.0,10.6
515,601.0,7.8
516,601.0,17.4
517,113.0,78.9
518,601.0,13.4
519,180.0,62.5
520,601.0,18.4
521,601.0,18.2
522,601.0,17.6
523,601.0,4.2
524,601.0,4.0
525,531.0,22.8
526,326.0,39.9
527,527.0,23.0
528,601.0,15.2
529,601.0,15.8
530,601.0,11.2
531,601.0,5.1
532,601.0,10.6
533,601.0,7.5
534,70.0,90.4
535,463.0,26.9
536,601.0,10.8
537,449.0,28.2
538,601.0,7.4
539,453.0,27.8
540,601.0,5.2
541,601.0,13.8
542,337.0,38.7
543,601.0,4.3
544,277.0,45.6
545,550.0,22.0
546,206.0,56.1
547,11.0,99.8
548,278.0,45.5
549,86.0,84.6
550,285.0,44.7
551,601.0,3.1
552,601.0,6.3
553,312.0,41.6
554,135.0,70.0
555,601.0,10.6
556,601.0,9.0
557,344.0,37.6
558,525.0,23.1
559,601.0,5.5
560,601.0,4.7
561,599.0,19.5
562,601.0,7.5
563,601.0,10.3
564,601.0,5.4
565,601.0,17.0
566,601.0,12.8
567,62.0,91.2
568,590.0,20.0
569,601.0,18.0
570,305.0,42.5
571,601.0,10.4
572,169.0,64.5
573,250.0,50.0
574,601.0,10.5
575,104.0,80.4
576,545.0,22.3
577,245.0,50.8
578,601.0,4.2
579,601.0,18.9
580,321.0,40.7
581,601.0,7.1
582,601.0,16.4
583,411.0,30.5
584,601.0,17.9
585,560.0,21.2
586,601.0,9.5
587,528.0,23.0
588,147.0,68.3
589,601.0,11.6
590,98.0,81.6
591,601.0,4.5
592,601.0,3.5
593,601.0,10.7
594,601.0,16.6
595,7.0,100.0
596,8.0,100.0
597,601.0,17.7
598,494.0,24.8
599,120.0,74.8
600,601.0,6.6
601,601.0,17.1
602,323.0,40.7
603,601.0,11.4
604,78.0,87.7
605,601.0,11.5
606,274.0,46.4
607,515.0,23.5
608,601.0,3.3
609,591.0,19.9
610,46.0,93.9
611,601.0,13.1
612,601.0,3.6
613,601.0,10.4
614,601.0,1.0
615,601.0,10.8
616,601.0,3.8
617,21.0,99.1
618,601.0,7.1
619,99.0,81.5
620,601.0,8.1
621,601.0,11.2
622,601.0,5.8
623,402.0,31.0
624,601.0,7.8
625,601.0,9.5
626,601.0,4.2
627,30.0,98.2
628,302.0,42.8
629,601.0,3.3
630,476.0,26.0
631,601.0,9.4
632,509.0,23.8
633,601.0,18.1
634,190.0,59.6
635,601.0,12.4
636,601.0,7.6
637,601.0,3.9
638,601.0,1.1
639,94.0,83.1
640,523.0,23.1
641,450.0,28.0
642,93.0,83.4
643,601.0,4.2
644,601.0,5.3
645,601.0,3.4
646,601.0,14.8
647,416.0,30.0
648,185.0,61.4
649,258.0,49.1
650,601.0,11.8
651,327.0,39.9
652,601.0,5.4
653,207.0,56.1
654,601.0,5.5
655,601.0,11.5
656,601.0,3.5
657,64.0,91.1
658,530.0,22.9
659,74.0,89.3
660,601.0,8.2
661,507.0,24.0
662,109.0,79.3
663,601.0,2.6
664,601.0,13.6
665,601.0,15.7
666,601.0,12.5
667,601.0,18.6
668,601.0,6.3
669,601.0,7.6
670,307.0,42.3
671,601.0,4.3
672,601.0,7.8
673,601.0,4.7
674,601.0,3.8
675,601.0,12.4
676,601.0,3.8
677,557.0,21.3
678,203.0,56.8
679,601.0,12.6
680,601.0,10.7
681,601.0,16.7
682,601.0,5.2
683,309.0,41.9
684,325.0,40.2
685,601.0,7.7
686,601.0,12.0
687,601.0,10.5
688,601.0,10.1
689,412.0,30.3
690,601.0,16.5
691,559.0,21.2
692,601.0,10.6
693,137.0,69.9
694,601.0,4.9
695,601.0,12.7
696,452.0,27.9
697,601.0,16.6
698,601.0,6.0
699,107.0,79.6
700,601.0,18.7
701,601.0,2.7
702,61.0,91.2
703,601.0,14.9
704,516.0,23.5
705,479.0,25.8
706,201.0,56.9
707,112.0,78.9
708,72.0,90.0
709,320.0,40.9
710,601.0,8.5
711,601.0,6.3
712,601.0,3.7
713,601.0,8.7
714,601.0,7.3
715,601.0,3.5
716,445.0,28.5
717,522.0,23.2
718,497.0,24.6
719,601.0,3.4
720,459.0,27.2
721,601.0,3.9
722,601.0,2.7
723,181.0,62.0
724,601.0,4.2
725,276.0,45.9
726,281.0,44.9
727,601.0,6.3
728,601.0,6.8
729,184.0,61.5
730,572.0,20.7
731,71.0,90.3
732,601.0,2.8
733,601.0,4.3
734,387.0,32.7
735,481.0,25.6
736,48.0,93.6
737,475.0,26.0
738,601.0,4.6
739,601.0,16.6
740,342.0,37.8
741,237.0,52.0
742,293.0,44.0
743,601.0,8.6
744,601.0,4.6
745,287.0,44.5
746,601.0,3.9
747,212.0,55.4
748,601.0,15.2
749,414.0,30.2
750,347.0,37.5
751,601.0,17.5
752,601.0,4.4
753,556.0,21.4
754,601.0,3.9
755,601.0,8.5
756,601.0,13.9
757,601.0,13.3
758,601.0,6.8
759,601.0,2.6
760,318.0,41.0
761,127.0,72.2
762,160.0,65.9
763,23.0,99.0
764,598.0,19.6
765,601.0,15.5
766,584.0,20.2
767,470.0,26.3
768,257.0,49.2
769,601.0,5.1
770,601.0,10.6
771,601.0,3.5
772,581.0,20.3
773,290.0,44.1
774,115.0,76.7
775,202.0,56.8
776,435.0,28.9
777,253.0,49.6
778,601.0,2.8
779,236.0,52.1
