university_id,international Research Network rank,international Research Network score
622,601.0,3.6
623,601.0,51.7
624,601.0,29.5
625,601.0,34.3
626,601.0,26.6
627,280.0,82.5
628,550.0,61.7
629,601.0,5.0
630,601.0,36.6
631,48.0,96.6
632,202.0,87.7
633,601.0,4.8
634,601.0,30.6
635,494.0,66.8
636,601.0,44.4
637,601.0,56.9
638,601.0,46.0
639,601.0,16.5
640,601.0,48.9
641,112.0,92.6
642,571.0,59.8
643,601.0,53.7
644,601.0,42.7
645,601.0,7.1
646,601.0,35.8
647,,
648,206.0,87.3
649,233.0,85.5
650,73.0,95.1
651,120.0,92.2
652,386.0,75.2
653,74.0,95.1
654,601.0,17.9
655,91.0,94.1
656,601.0,25.6
657,601.0,26.1
658,601.0,11.3
659,601.0,32.1
660,601.0,8.3
661,207.0,87.3
662,601.0,25.2
663,460.0,70.2
664,461.0,70.1
665,133.0,91.4
666,575.0,59.4
667,601.0,2.7
668,601.0,56.3
669,193.0,88.3
670,601.0,50.0
671,415.0,73.8
672,601.0,11.0
673,601.0,25.2
674,601.0,42.1
675,498.0,66.6
676,601.0,34.3
677,588.0,58.3
678,601.0,47.4
679,596.0,57.9
680,111.0,92.7
681,444.0,71.3
682,375.0,76.0
683,391.0,75.0
684,601.0,33.7
685,601.0,29.6
686,601.0,33.2
687,113.0,92.6
688,524.0,63.7
689,601.0,28.9
690,601.0,52.1
691,285.0,82.2
692,601.0,19.2
693,511.0,64.9
694,230.0,85.8
695,526.0,63.5
696,601.0,55.0
697,53.0,96.3
698,147.0,90.6
699,601.0,4.9
700,543.0,62.2
701,601.0,26.7
702,601.0,38.8
703,137.0,91.2
704,601.0,3.1
705,47.0,96.7
706,561.0,60.7
707,464.0,69.5
708,601.0,9.4
709,516.0,64.5
710,601.0,40.5
711,357.0,77.3
712,601.0,27.6
713,601.0,31.3
714,62.0,95.6
715,542.0,62.4
716,601.0,55.5
717,601.0,7.3
718,4.0,99.7
719,601.0,14.6
720,314.0,80.7
721,292.0,81.9
722,601.0,19.6
723,295.0,81.7
724,601.0,30.9
725,87.0,94.6
726,1.0,100.0
727,155.0,90.2
728,601.0,42.7
729,601.0,4.0
730,416.0,73.7
731,601.0,7.8
732,601.0,56.8
733,601.0,26.3
734,317.0,80.4
735,601.0,33.4
736,590.0,58.2
737,601.0,54.3
738,601.0,12.2
739,601.0,10.3
740,601.0,43.1
741,475.0,68.3
742,601.0,39.0
743,124.0,91.9
744,211.0,87.0
745,601.0,30.9
746,237.0,85.1
747,601.0,33.5
748,601.0,54.5
749,601.0,39.0
750,467.0,69.2
751,222.0,86.3
752,601.0,6.0
753,105.0,93.2
754,228.0,85.9
755,441.0,71.5
756,57.0,96.1
757,128.0,91.7
758,601.0,57.0
759,414.0,73.8
760,601.0,35.1
761,89.0,94.3
762,272.0,82.9
763,601.0,56.1
764,601.0,37.7
765,601.0,21.6
766,528.0,63.4
767,454.0,70.7
768,601.0,21.5
769,49.0,96.5
770,601.0,17.4
771,265.0,83.4
772,601.0,40.2
773,601.0,51.1
774,601.0,35.5
775,601.0,39.6
776,601.0,13.7
777,577.0,59.3
778,483.0,67.8
779,345.0,78.0
780,601.0,15.3
781,565.0,60.5
782,601.0,24.7
783,601.0,30.6
784,159.0,90.1
785,574.0,59.5
786,51.0,96.4
787,601.0,17.4
788,484.0,67.8
789,339.0,78.6
790,601.0,55.5
791,601.0,14.7
792,514.0,64.7
793,35.0,97.2
794,601.0,43.9
795,392.0,75.0
796,601.0,22.1
797,601.0,28.3
798,601.0,15.6
799,275.0,82.7
800,601.0,13.5
801,458.0,70.2
802,380.0,75.6
803,601.0,17.0
804,601.0,10.0
805,601.0,30.1
806,215.0,86.8
807,601.0,34.7
808,,
809,601.0,26.3
810,326.0,79.6
811,601.0,25.9
812,601.0,41.1
813,60.0,95.9
814,37.0,97.1
815,601.0,34.3
816,601.0,32.1
817,601.0,21.4
818,131.0,91.4
819,601.0,40.5
820,80.0,94.7
821,601.0,38.5
822,334.0,79.0
823,59.0,96.0
824,601.0,20.6
825,601.0,1.7
826,471.0,68.9
827,216.0,86.8
828,601.0,6.1
829,118.0,92.2
830,329.0,79.3
831,398.0,74.9
832,360.0,77.2
833,409.0,74.2
834,589.0,58.2
835,601.0,12.3
836,601.0,51.7
837,488.0,67.6
838,600.0,57.7
839,601.0,7.3
840,462.0,69.8
841,351.0,77.7
842,601.0,51.2
843,95.0,93.7
844,601.0,37.6
845,40.0,96.9
846,601.0,1.2
847,601.0,10.8
848,443.0,71.3
849,601.0,4.8
850,601.0,26.1
851,601.0,30.8
852,482.0,67.9
853,601.0,37.3
854,601.0,50.1
855,139.0,91.1
856,601.0,1.4
857,535.0,62.8
858,601.0,56.5
859,601.0,12.3
860,601.0,31.4
861,601.0,36.7
862,601.0,23.7
863,601.0,13.0
864,140.0,91.1
865,513.0,64.7
866,601.0,54.1
867,601.0,29.7
868,601.0,57.1
869,601.0,24.3
870,601.0,23.6
871,572.0,59.7
872,278.0,82.5
873,71.0,95.1
874,601.0,52.4
875,601.0,15.1
876,114.0,92.5
877,601.0,26.8
878,282.0,82.4
879,601.0,9.0
880,544.0,62.2
881,601.0,12.4
882,601.0,42.2
883,490.0,67.2
884,601.0,1.5
885,132.0,91.4
886,181.0,89.2
887,214.0,86.9
888,343.0,78.4
889,447.0,71.2
890,601.0,12.0
891,601.0,11.1
892,320.0,80.2
893,23.0,98.0
894,601.0,34.5
895,581.0,58.8
896,601.0,12.1
897,551.0,61.6
898,601.0,6.9
899,204.0,87.5
900,601.0,42.3
901,601.0,11.1
902,84.0,94.7
903,601.0,21.2
904,601.0,57.4
905,190.0,88.4
906,365.0,76.8
907,601.0,18.6
908,487.0,67.6
909,311.0,80.8
910,601.0,8.6
911,601.0,52.3
912,601.0,3.3
913,601.0,13.6
914,101.0,93.4
915,166.0,89.8
916,601.0,13.9
917,601.0,45.6
918,364.0,77.0
919,420.0,73.4
920,601.0,17.0
921,332.0,79.1
922,601.0,1.4
923,601.0,16.4
924,88.0,94.5
925,504.0,65.5
926,85.0,94.6
927,445.0,71.3
928,601.0,17.5
929,512.0,64.8
930,102.0,93.4
931,141.0,90.9
932,601.0,21.5
933,411.0,74.1
934,601.0,54.5
935,601.0,34.4
936,313.0,80.7
937,601.0,56.2
938,601.0,19.4
939,601.0,45.3
940,383.0,75.4
941,601.0,4.9
942,601.0,41.8
943,401.0,74.8
944,388.0,75.2
945,121.0,92.1
946,192.0,88.4
947,601.0,19.2
948,601.0,19.5
949,601.0,57.5
950,453.0,70.8
951,568.0,60.0
952,200.0,87.8
953,601.0,44.7
954,199.0,87.9
955,404.0,74.6
956,150.0,90.4
957,601.0,47.0
958,601.0,15.4
959,601.0,18.5
960,545.0,62.1
961,601.0,42.9
962,477.0,68.3
963,470.0,68.9
964,601.0,12.5
965,247.0,84.6
966,601.0,42.8
967,33.0,97.3
968,601.0,27.6
969,253.0,84.3
970,130.0,91.4
971,601.0,52.3
972,601.0,46.0
973,601.0,44.2
974,601.0,6.0
975,269.0,83.1
976,407.0,74.4
977,601.0,55.2
978,601.0,52.0
979,169.0,89.6
980,601.0,37.8
981,469.0,69.1
982,601.0,34.4
983,601.0,12.1
984,601.0,16.3
985,75.0,95.1
986,244.0,84.8
987,601.0,32.5
988,601.0,51.1
989,283.0,82.2
990,601.0,13.8
991,601.0,44.4
992,601.0,39.3
993,601.0,41.4
994,601.0,31.2
995,263.0,83.6
996,601.0,34.9
997,601.0,33.0
998,601.0,1.8
999,145.0,90.8
1000,456.0,70.6
1001,198.0,87.9
1002,601.0,28.1
1003,601.0,31.7
1004,601.0,40.4
1005,601.0,30.4
1006,579.0,59.2
1007,557.0,61.0
1008,601.0,14.1
1009,422.0,73.3
1010,601.0,47.7
1011,552.0,61.4
1012,522.0,63.9
1013,144.0,90.8
1014,556.0,61.1
1015,601.0,21.4
1016,171.0,89.6
1017,76.0,94.9
1018,438.0,72.2
1019,601.0,26.0
1020,601.0,48.7
1021,356.0,77.4
1022,260.0,83.7
1023,601.0,45.7
1024,601.0,20.3
1025,601.0,33.5
1026,601.0,8.8
1027,601.0,23.4
1028,601.0,20.7
1029,348.0,77.9
1030,601.0,41.7
1031,601.0,28.7
1032,601.0,22.6
1033,287.0,82.1
1034,164.0,89.9
1035,289.0,82.0
1036,601.0,8.0
1037,355.0,77.4
1038,601.0,43.2
1039,262.0,83.6
1040,104.0,93.3
1041,601.0,30.9
1042,601.0,22.5
1043,601.0,42.8
1044,601.0,5.9
1045,601.0,54.8
1046,72.0,95.1
1047,56.0,96.2
1048,536.0,62.7
1049,601.0,11.6
1050,601.0,23.1
1051,208.0,87.2
1052,100.0,93.4
1053,601.0,14.7
1054,430.0,72.8
1055,601.0,22.0
1056,336.0,78.7
1057,601.0,45.1
1058,601.0,7.1
1059,601.0,15.6
1060,22.0,98.0
1061,601.0,14.3
1062,601.0,35.9
1063,601.0,54.1
1064,377.0,75.7
1065,372.0,76.1
1066,601.0,3.7
1067,384.0,75.4
1068,601.0,15.8
1069,397.0,74.9
1070,601.0,37.1
1071,108.0,93.1
1072,259.0,84.1
1073,29.0,97.6
1074,601.0,21.9
1075,601.0,22.4
1076,136.0,91.3
1077,129.0,91.5
1078,601.0,5.1
1079,517.0,64.5
1080,601.0,46.5
1081,601.0,18.2
1082,555.0,61.1
1083,115.0,92.5
1084,601.0,47.7
1085,601.0,14.3
1086,373.0,76.0
1087,15.0,98.7
1088,601.0,46.2
