university_id,international faculty rank,international faculty score
568,321.0,41.3
569,272.0,55.1
570,260.0,57.8
571,601.0,1.2
572,449.0,15.4
573,601.0,2.3
574,601.0,3.6
575,263.0,57.2
576,601.0,2.7
577,601.0,1.6
578,,
579,595.0,5.9
580,137.0,95.3
581,314.0,43.0
582,601.0,2.0
583,601.0,1.0
584,520.0,9.6
585,601.0,3.6
586,601.0,2.5
587,,
588,259.0,58.2
589,311.0,43.6
590,555.0,7.7
591,601.0,1.3
592,355.0,32.6
593,493.0,11.6
594,161.0,91.7
595,601.0,2.0
596,52.0,100.0
597,601.0,1.4
598,601.0,2.7
599,508.0,10.3
600,483.0,13.1
601,,
602,601.0,1.5
603,505.0,10.4
604,70.0,100.0
605,274.0,53.6
606,,
607,305.0,44.7
608,63.0,100.0
609,601.0,4.0
610,424.0,17.8
611,601.0,1.9
612,592.0,6.1
613,159.0,92.0
614,325.0,40.6
615,601.0,1.7
616,601.0,1.3
617,601.0,1.1
618,601.0,1.7
619,197.0,81.2
620,411.0,20.5
621,240.0,64.9
622,601.0,1.2
623,601.0,1.8
624,601.0,1.6
625,601.0,2.3
626,565.0,7.2
627,106.0,98.8
628,474.0,13.6
629,601.0,1.4
630,601.0,1.4
631,104.0,98.8
632,,
633,601.0,1.5
634,186.0,85.0
635,,
636,601.0,2.4
637,364.0,29.7
638,601.0,5.6
639,601.0,1.8
640,601.0,2.0
641,481.0,13.2
642,337.0,37.1
643,601.0,1.7
644,601.0,1.7
645,92.0,99.3
646,562.0,7.2
647,601.0,5.3
648,71.0,99.9
649,601.0,5.4
650,162.0,91.6
651,574.0,6.9
652,601.0,2.4
653,601.0,4.7
654,601.0,1.2
655,551.0,8.0
656,601.0,2.3
657,601.0,2.8
658,601.0,1.3
659,601.0,3.3
660,601.0,1.5
661,14.0,100.0
662,601.0,1.4
663,601.0,2.1
664,279.0,51.8
665,328.0,39.8
666,601.0,3.1
667,601.0,5.5
668,601.0,1.6
669,107.0,98.8
670,601.0,1.7
671,601.0,1.2
672,601.0,1.8
673,601.0,4.1
674,601.0,1.1
675,601.0,1.2
676,138.0,94.9
677,601.0,1.1
678,601.0,1.9
679,,
680,350.0,33.2
681,601.0,1.5
682,,
683,182.0,86.5
684,601.0,5.7
685,601.0,4.0
686,601.0,2.3
687,601.0,1.1
688,589.0,6.2
689,407.0,20.9
690,348.0,34.4
691,325.0,40.7
692,601.0,3.8
693,601.0,3.5
694,478.0,13.3
695,568.0,7.1
696,578.0,6.7
697,369.0,28.9
698,601.0,1.9
699,601.0,4.1
700,601.0,1.2
701,420.0,18.6
702,,
703,601.0,2.0
704,601.0,1.6
705,117.0,97.9
706,380.0,26.9
707,601.0,3.4
708,601.0,1.1
709,319.0,41.8
710,601.0,1.7
711,601.0,1.2
712,462.0,14.5
713,507.0,10.3
714,601.0,1.5
715,416.0,19.4
716,79.0,99.7
717,601.0,2.2
718,262.0,57.5
719,601.0,5.1
720,601.0,1.7
721,457.0,15.1
722,598.0,5.9
723,479.0,13.3
724,429.0,17.6
725,370.0,28.8
726,188.0,84.2
727,211.0,76.4
728,335.0,37.2
729,468.0,14.1
730,601.0,1.2
731,601.0,1.7
732,93.0,99.2
733,601.0,1.6
734,601.0,2.3
735,601.0,1.9
736,412.0,20.3
737,601.0,1.6
738,5.0,100.0
739,,
740,438.0,16.6
741,601.0,2.6
742,601.0,4.1
743,287.0,50.5
744,601.0,1.3
745,601.0,1.1
746,601.0,2.5
747,,
748,601.0,2.0
749,601.0,1.1
750,601.0,3.2
751,601.0,3.6
752,601.0,1.0
753,549.0,8.1
754,,
755,601.0,1.4
756,170.0,90.0
757,535.0,8.7
758,601.0,1.1
759,202.0,78.6
760,65.0,100.0
761,,
762,583.0,6.5
763,8.0,100.0
764,194.0,82.8
765,313.0,43.3
766,601.0,1.4
767,120.0,97.4
768,601.0,1.7
769,209.0,76.9
770,,
771,97.0,99.1
772,437.0,16.6
773,601.0,2.0
774,293.0,47.1
775,601.0,2.9
776,591.0,6.2
777,601.0,1.3
778,,
779,601.0,3.8
780,100.0,99.0
781,248.0,63.3
782,601.0,1.3
783,354.0,32.8
784,17.0,100.0
785,247.0,63.3
786,601.0,1.3
787,601.0,1.9
788,,
789,66.0,100.0
790,601.0,4.7
791,601.0,1.4
792,601.0,1.2
793,175.0,88.7
794,601.0,2.1
795,510.0,10.3
796,601.0,5.5
797,601.0,2.5
798,,
799,585.0,6.5
800,601.0,1.1
801,25.0,100.0
802,144.0,94.2
803,601.0,1.6
804,440.0,16.2
805,413.0,20.2
806,53.0,100.0
807,601.0,1.0
808,601.0,2.1
809,338.0,37.0
810,241.0,64.7
811,601.0,1.9
812,215.0,73.6
813,61.0,100.0
814,388.0,24.7
815,601.0,1.2
816,601.0,1.5
817,316.0,42.5
818,164.0,90.8
819,587.0,6.3
820,204.0,78.1
821,20.0,100.0
822,281.0,51.5
823,538.0,8.6
824,601.0,1.4
825,,
826,601.0,1.9
827,601.0,1.2
828,12.0,100.0
829,552.0,8.0
830,601.0,4.0
831,55.0,100.0
832,601.0,3.5
833,41.0,100.0
834,450.0,15.3
835,601.0,1.6
836,601.0,4.0
837,125.0,97.0
838,601.0,1.2
839,601.0,1.3
840,601.0,4.2
841,601.0,2.4
842,601.0,1.5
843,,
844,,
845,331.0,39.2
846,601.0,1.1
847,601.0,4.9
848,601.0,4.4
849,601.0,1.2
850,601.0,1.1
851,601.0,1.6
852,172.0,89.7
853,601.0,3.9
854,601.0,2.0
855,373.0,28.1
856,547.0,8.1
857,601.0,3.0
858,192.0,83.6
859,601.0,2.5
860,,
861,550.0,8.0
862,581.0,6.6
863,441.0,16.1
864,500.0,11.0
865,601.0,2.8
866,601.0,5.5
867,601.0,1.2
868,601.0,2.3
869,506.0,10.4
870,601.0,1.3
871,601.0,1.5
872,601.0,1.5
873,68.0,100.0
874,601.0,1.5
875,601.0,1.0
876,453.0,15.2
877,601.0,4.6
878,494.0,11.6
879,601.0,1.1
880,601.0,1.4
881,601.0,1.8
882,,
883,317.0,42.4
884,601.0,5.6
885,196.0,81.6
886,601.0,4.2
887,601.0,1.2
888,309.0,44.1
889,601.0,5.7
890,,
891,601.0,1.4
892,601.0,2.2
893,601.0,1.4
894,601.0,1.1
895,326.0,40.3
896,601.0,15.7
897,601.0,2.0
898,601.0,5.6
899,560.0,7.3
900,601.0,3.4
901,601.0,1.9
902,291.0,49.1
903,601.0,2.0
904,601.0,5.3
905,542.0,8.3
906,290.0,49.2
907,601.0,1.1
908,30.0,100.0
909,103.0,98.8
910,572.0,7.0
911,584.0,6.5
912,459.0,14.9
913,601.0,1.8
914,601.0,1.2
915,334.0,37.5
916,601.0,5.2
917,601.0,4.6
918,480.0,13.2
919,404.0,21.4
920,254.0,61.0
921,601.0,3.5
922,601.0,3.4
923,601.0,2.5
924,601.0,1.4
925,221.0,72.6
926,32.0,100.0
927,601.0,1.3
928,601.0,2.5
929,372.0,28.2
930,84.0,99.5
931,308.0,44.3
932,425.0,17.7
933,288.0,49.8
934,601.0,1.2
935,472.0,13.8
936,601.0,3.6
937,601.0,1.5
938,394.0,23.6
939,601.0,1.9
940,358.0,31.8
941,601.0,1.1
942,601.0,2.7
943,601.0,1.1
944,601.0,2.1
945,601.0,2.4
946,491.0,11.8
947,601.0,1.4
948,184.0,86.0
949,601.0,1.4
950,13.0,100.0
951,601.0,1.5
952,322.0,40.9
953,601.0,4.0
954,566.0,7.1
955,280.0,51.8
956,148.0,93.8
957,434.0,17.2
958,,
959,283.0,50.8
960,601.0,2.9
961,396.0,23.2
962,,
963,601.0,1.0
964,133.0,95.7
965,601.0,2.2
966,464.0,14.4
967,178.0,87.5
968,601.0,1.1
969,414.0,20.1
970,210.0,76.1
971,601.0,2.5
972,601.0,1.2
973,601.0,1.4
974,147.0,94.0
975,482.0,13.1
976,601.0,2.5
977,431.0,17.4
978,417.0,19.3
979,27.0,100.0
980,601.0,2.0
981,,
982,601.0,1.9
983,601.0,1.2
984,6.0,100.0
985,42.0,100.0
986,492.0,11.8
987,527.0,9.4
988,,
989,532.0,8.9
990,601.0,2.8
991,601.0,2.6
992,601.0,2.2
993,601.0,1.2
994,601.0,4.9
995,213.0,74.7
996,340.0,36.5
997,601.0,2.6
998,200.0,79.0
999,601.0,2.0
1000,,
1001,185.0,85.5
1002,486.0,12.7
1003,,
1004,242.0,64.2
1005,128.0,96.2
1006,601.0,2.3
1007,601.0,5.6
1008,428.0,17.6
1009,378.0,27.2
1010,601.0,1.4
1011,601.0,1.3
1012,518.0,9.7
1013,526.0,9.4
1014,601.0,1.6
1015,15.0,100.0
1016,256.0,58.9
1017,218.0,73.5
1018,72.0,99.9
1019,601.0,2.9
1020,601.0,1.6
1021,594.0,5.9
1022,601.0,1.3
1023,601.0,1.0
1024,503.0,10.6
1025,601.0,1.4
1026,580.0,6.6
1027,,
1028,601.0,3.4
