university_id,overall rank,overall score
718,24,85.8
719,989,
720,727,
721,215,43.9
722,1401,
723,552,21.4
724,100,60.4
725,326,32.8
726,4,98.3
727,119,56.7
728,464,24.9
729,534,22.1
730,897,
731,1230,
732,250,39.5
733,1215,
734,697,
735,974,
736,676,
737,835,
738,581,20.4
739,1327,
740,417,27.0
741,713,
742,516,22.7
743,98,60.8
744,848,
745,991,
746,993,
747,546,21.6
748,1356,
749,1005,
750,357,30.9
751,353,31.2
752,1214,
753,102,60.0
754,481,24.1
755,921,
756,111,58.3
757,732,
758,538,22.0
759,226,41.9
760,609,
761,533,22.1
762,189,46.9
763,470,24.7
764,822,
765,491,23.6
766,341,32.1
767,448,25.7
768,1275,
769,151,51.3
770,1463,
771,96,61.0
772,1191,
773,994,
774,645,
775,961,
776,672,
777,907,
778,880,
779,586,20.2
780,568,20.8
781,608,
782,618,
783,1092,
784,174,48.7
785,436,26.2
786,172,48.8
787,1027,
788,1194,
789,175,48.7
790,505,23.1
791,957,
792,905,
793,53,73.4
794,1002,
795,456,25.2
796,1216,
797,1349,
798,940,
799,103,59.9
800,1131,
801,181,48.0
802,319,33.3
803,914,
804,1000,
805,587,20.2
806,459,25.2
807,1384,
808,767,
809,321,33.2
810,416,27.0
811,1307,
812,718,
813,47,76.2
814,71,67.6
815,878,
816,1141,
817,300,34.7
818,162,50.1
819,640,
820,127,54.8
821,331,32.6
822,274,37.2
823,248,39.6
824,1108,
825,889,
826,539,22.0
827,372,29.9
828,864,
829,64,69.1
830,41,78.5
831,49,76.2
832,476,24.4
833,65,68.7
834,789,
835,919,
836,983,
837,329,32.6
838,895,
839,1346,
840,272,37.3
841,638,
842,949,
843,302,34.5
844,607,
845,62,70.0
846,1289,
847,671,
848,606,
849,809,
850,701,
851,1053,
852,427,26.6
853,1096,
854,1357,
855,521,22.7
856,968,
857,695,
858,667,
859,1060,
860,1165,
861,1387,
862,541,21.9
863,576,20.6
864,135,52.9
865,256,38.7
866,737,
867,844,
868,823,
869,434,26.2
870,1328,
871,1241,
872,628,
873,202,45.8
874,271,37.4
875,1373,
876,466,24.8
877,1068,
878,468,24.7
879,1016,
880,819,
881,702,
882,371,30.0
883,779,
884,528,22.3
885,155,50.5
886,355,31.0
887,525,22.5
888,163,50.0
889,828,
890,1122,
891,1272,
892,700,
893,134,52.9
894,1093,
895,547,21.5
896,849,
897,396,28.2
898,1240,
899,87,62.2
900,866,
901,830,
902,54,72.5
903,1265,
904,678,
905,403,27.9
906,595,19.9
907,1451,
908,45,76.9
909,257,38.7
910,320,33.2
911,1058,
912,1089,
913,1350,
914,488,23.8
915,207,44.9
916,931,
917,690,
918,644,
919,332,32.6
920,710,
921,343,32.0
922,758,
923,1029,
924,728,
925,309,33.9
926,43,78.1
927,861,
928,1308,
929,750,
930,144,52.0
931,222,42.5
932,281,36.6
933,555,21.3
934,1082,
935,391,28.3
936,398,28.1
937,440,26.0
938,1062,
939,740,
940,512,22.9
941,1281,
942,617,
943,801,
944,492,23.6
945,548,21.5
946,318,33.4
947,945,
948,636,
949,741,
950,290,35.9
951,563,21.0
952,124,55.2
953,768,
954,781,
955,251,39.3
956,171,48.9
957,663,
958,1127,
959,831,
960,836,
961,793,
962,685,
963,348,31.4
964,666,
965,479,24.3
966,958,
967,118,56.8
968,698,
969,439,26.0
970,265,37.9
971,335,32.4
972,225,42.1
973,1362,
974,429,26.4
975,386,28.6
976,291,35.8
977,352,31.2
978,870,
979,26,84.5
980,976,
981,751,
982,925,
983,1448,
984,553,21.3
985,42,78.2
986,378,29.5
987,1136,
988,1403,
989,444,25.9
990,511,22.9
991,754,
992,703,
993,285,36.1
994,596,19.9
995,112,58.1
996,284,36.2
997,860,
998,966,
999,351,31.3
1000,769,
1001,282,36.6
1002,635,
1003,1079,
1004,893,
1005,295,35.4
1006,383,29.0
1007,358,30.9
1008,570,20.8
1009,590,20.1
1010,1142,
1011,858,
1012,953,
1013,299,34.8
1014,572,20.7
1015,507,23.0
1016,120,56.4
1017,188,47.3
1018,501,23.2
1019,1313,
1020,948,
1021,593,20.0
1022,888,
1023,1207,
1024,662,
1025,760,
1026,585,20.3
1027,646,
1028,797,
1029,410,27.3
1030,1199,
1031,1292,
1032,891,
1033,244,39.9
1034,74,66.4
1035,748,
1036,441,26.0
1037,160,50.2
1038,805,
1039,615,
1040,12,89.4
1041,1364,
1042,956,
1043,684,
1044,1175,
1045,1395,
1046,267,37.7
1047,7,93.3
1048,449,25.7
1049,1088,
1050,1022,
