university_id,employment outcomes rank,employment outcomes score
962,701.0,12.0
963,240.0,31.8
964,701.0,10.4
965,701.0,8.1
966,701.0,7.7
967,57.0,76.2
968,253.0,30.3
969,406.0,20.6
970,21.0,96.7
971,321.0,25.7
972,621.0,13.8
973,701.0,4.3
974,183.0,39.4
975,314.0,26.1
976,397.0,20.8
977,701.0,11.4
978,128.0,51.3
979,79.0,68.4
980,701.0,8.8
981,606.0,14.1
982,701.0,8.2
983,701.0,3.9
984,644.0,13.3
985,95.0,61.0
986,570.0,14.7
987,701.0,6.8
988,376.0,22.0
989,560.0,14.9
990,513.0,16.5
991,435.0,19.3
992,701.0,8.6
993,317.0,26.0
994,279.0,28.6
995,112.0,55.9
996,701.0,10.5
997,701.0,8.0
998,567.0,14.8
999,642.0,13.4
1000,701.0,9.2
1001,358.0,23.6
1002,701.0,8.7
1003,265.0,29.8
1004,701.0,8.9
1005,557.0,15.1
1006,701.0,11.0
1007,701.0,11.5
1008,624.0,13.7
1009,576.0,14.6
1010,701.0,5.9
1011,701.0,6.1
1012,701.0,8.1
1013,403.0,20.7
1014,495.0,17.1
1015,394.0,20.9
1016,187.0,38.7
1017,151.0,46.3
1018,701.0,11.6
1019,701.0,6.2
1020,573.0,14.6
1021,701.0,11.1
1022,701.0,8.4
1023,628.0,13.6
1024,477.0,17.4
1025,701.0,6.9
1026,154.0,45.5
1027,701.0,10.9
1028,258.0,30.1
1029,559.0,15.0
1030,701.0,9.4
1031,701.0,7.9
1032,701.0,12.0
1033,503.0,16.8
1034,108.0,56.9
1035,701.0,6.8
1036,26.0,94.8
1037,130.0,50.4
1038,701.0,8.1
1039,701.0,7.6
1040,5.0,100.0
1041,701.0,7.6
1042,701.0,7.9
1043,701.0,11.7
1044,366.0,22.8
1045,701.0,8.3
1046,85.0,65.8
1047,52.0,79.1
1048,701.0,11.1
1049,701.0,7.6
1050,701.0,10.8
1051,28.0,94.3
1052,620.0,13.8
1053,161.0,44.5
1054,701.0,9.0
1055,701.0,8.2
1056,701.0,12.2
1057,701.0,6.7
1058,127.0,51.4
1059,584.0,14.4
1060,184.0,39.0
1061,331.0,25.0
1062,701.0,6.2
1063,285.0,28.3
1064,508.0,16.7
1065,701.0,12.0
1066,496.0,17.1
1067,701.0,8.4
1068,701.0,2.7
1069,545.0,15.4
1070,429.0,19.6
1071,191.0,38.4
1072,402.0,20.7
1073,74.0,70.0
1074,115.0,54.6
1075,701.0,9.8
1076,78.0,68.4
1077,541.0,15.5
1078,88.0,64.9
1079,701.0,10.3
1080,580.0,14.5
1081,72.0,70.5
1082,627.0,13.7
1083,701.0,7.2
1084,701.0,10.1
1085,701.0,10.9
1086,544.0,15.4
1087,141.0,48.1
1088,341.0,24.5
1089,662.0,13.0
1090,701.0,8.1
1091,290.0,27.9
1092,111.0,56.1
1093,701.0,11.4
1094,306.0,26.7
1095,660.0,13.0
1096,596.0,14.2
1097,507.0,16.8
1098,254.0,30.2
1099,701.0,9.9
1100,262.0,30.0
1101,701.0,9.8
1102,701.0,11.3
1103,217.0,35.1
1104,207.0,35.7
1105,701.0,9.0
1106,701.0,9.2
1107,272.0,29.3
1108,153.0,45.5
1109,344.0,24.3
1110,226.0,34.2
1111,701.0,10.5
1112,701.0,8.7
1113,701.0,8.7
1114,338.0,24.7
1115,283.0,28.4
1116,594.0,14.2
1117,701.0,11.4
1118,193.0,37.8
1119,239.0,32.0
1120,122.0,52.2
1121,701.0,8.3
1122,145.0,47.5
1123,164.0,43.9
1124,646.0,13.3
1125,390.0,21.4
1126,626.0,13.7
1127,532.0,15.7
1128,313.0,26.1
1129,9.0,99.9
1130,255.0,30.2
1131,315.0,26.0
1132,701.0,8.4
1133,428.0,19.6
1134,701.0,9.5
1135,634.0,13.6
1136,692.0,12.5
1137,701.0,9.6
1138,50.0,79.8
1139,602.0,14.1
1140,196.0,37.3
1141,377.0,22.0
1142,701.0,11.1
1143,416.0,20.1
1144,342.0,24.4
1145,701.0,8.1
1146,701.0,8.5
1147,701.0,6.6
