university_id,sustainability rank,sustainability score
832,490.0,24.8
833,73.0,92.8
834,463.0,28.4
835,701.0,8.3
836,249.0,60.4
837,356.0,41.7
838,428.0,31.3
839,701.0,1.2
840,444.0,30.5
841,411.0,33.8
842,701.0,7.3
843,327.0,46.6
844,320.0,47.5
845,189.0,72.5
846,701.0,1.0
847,701.0,1.0
848,403.0,34.6
849,,
850,701.0,1.1
851,701.0,1.3
852,254.0,58.9
853,701.0,1.6
854,701.0,4.4
855,467.0,28.1
856,701.0,1.5
857,627.0,13.7
858,693.0,8.6
859,701.0,1.1
860,701.0,4.1
861,701.0,1.2
862,661.0,10.6
863,701.0,1.3
864,246.0,61.3
865,603.0,15.4
866,523.0,22.0
867,701.0,1.3
868,701.0,2.0
869,638.0,12.6
870,701.0,1.0
871,701.0,1.2
872,574.0,17.2
873,87.0,91.0
874,567.0,18.0
875,701.0,2.6
876,552.0,19.0
877,701.0,1.3
878,318.0,47.8
879,701.0,1.0
880,701.0,1.9
881,701.0,6.1
882,701.0,1.3
883,687.0,9.1
884,701.0,1.0
885,25.0,97.9
886,186.0,73.3
887,145.0,80.6
888,271.0,55.8
889,270.0,56.1
890,701.0,1.0
891,701.0,2.3
892,701.0,4.0
893,79.0,92.0
894,701.0,1.4
895,463.0,28.4
896,701.0,1.1
897,579.0,17.1
898,701.0,1.0
899,631.0,13.4
900,701.0,1.4
901,701.0,3.3
902,167.0,77.3
903,701.0,1.1
904,701.0,3.5
905,362.0,40.2
906,305.0,50.6
907,701.0,1.2
908,28.0,97.8
909,627.0,13.7
910,663.0,10.5
911,701.0,4.4
912,701.0,1.0
913,701.0,6.7
914,425.0,31.6
915,95.0,89.1
916,701.0,4.1
917,701.0,1.1
918,432.0,31.0
919,588.0,16.3
920,701.0,1.1
921,701.0,4.4
922,701.0,1.0
923,701.0,1.1
924,592.0,16.1
925,701.0,2.9
926,187.0,73.1
927,423.0,32.1
928,701.0,4.9
929,528.0,21.6
930,342.0,43.5
931,133.0,82.7
932,533.0,21.2
933,596.0,15.9
934,701.0,1.2
935,481.0,26.6
936,497.0,24.4
937,701.0,3.3
938,701.0,1.6
939,701.0,4.5
940,603.0,15.4
941,701.0,2.5
942,701.0,8.1
943,358.0,41.1
944,608.0,15.2
945,428.0,31.3
946,163.0,77.7
947,555.0,18.8
948,673.0,9.7
949,312.0,49.4
950,588.0,16.3
951,665.0,10.3
952,453.0,29.4
953,701.0,1.8
954,601.0,15.6
955,301.0,50.9
956,189.0,72.5
957,235.0,62.8
958,701.0,1.0
959,701.0,7.8
960,683.0,9.4
961,701.0,1.2
962,701.0,6.3
963,701.0,7.8
964,701.0,7.8
965,467.0,28.1
966,694.0,8.5
967,175.0,75.1
968,652.0,11.6
969,387.0,37.2
970,239.0,62.5
971,701.0,1.9
972,660.0,10.7
973,490.0,24.8
974,701.0,6.0
975,471.0,27.6
976,403.0,34.6
977,367.0,39.0
978,555.0,18.8
979,160.0,78.2
980,701.0,1.1
981,701.0,1.9
982,701.0,1.6
983,701.0,1.0
984,701.0,3.0
985,194.0,71.8
986,567.0,18.0
987,701.0,7.0
988,701.0,2.7
989,315.0,49.0
990,701.0,1.4
991,297.0,51.5
992,555.0,18.8
993,701.0,6.5
994,420.0,32.7
995,36.0,97.1
996,701.0,2.3
997,701.0,2.1
998,701.0,1.2
999,182.0,73.6
1000,701.0,2.8
1001,259.0,57.7
1002,701.0,2.2
1003,701.0,2.2
1004,382.0,37.5
1005,574.0,17.2
1006,471.0,27.6
1007,259.0,57.7
1008,701.0,1.1
1009,210.0,69.3
1010,701.0,3.8
1011,489.0,25.1
1012,701.0,6.5
1013,47.0,95.9
1014,252.0,59.2
1015,701.0,1.1
1016,504.0,23.9
1017,30.0,97.6
1018,230.0,63.7
1019,701.0,1.1
1020,542.0,20.3
1021,420.0,32.7
1022,571.0,17.8
1023,701.0,1.2
1024,701.0,1.5
1025,701.0,1.3
1026,701.0,2.0
1027,701.0,1.0
1028,701.0,7.5
1029,29.0,97.7
1030,695.0,8.4
1031,701.0,2.2
1032,701.0,1.1
1033,259.0,57.7
1034,44.0,96.1
1035,382.0,37.5
1036,701.0,1.6
1037,389.0,36.3
1038,701.0,4.7
1039,701.0,5.8
1040,3.0,99.9
1041,701.0,2.4
1042,701.0,1.1
1043,701.0,3.6
1044,701.0,1.1
1045,701.0,1.4
1046,220.0,66.5
1047,103.0,88.4
1048,560.0,18.4
1049,701.0,1.0
1050,701.0,3.9
1051,9.0,99.6
1052,55.0,95.0
1053,545.0,19.9
1054,220.0,66.5
1055,701.0,1.1
1056,156.0,79.1
1057,701.0,1.1
1058,701.0,7.4
1059,701.0,1.1
1060,48.0,95.7
1061,531.0,21.4
1062,701.0,1.8
1063,320.0,47.5
1064,373.0,38.4
1065,701.0,4.8
1066,701.0,1.0
1067,608.0,15.2
1068,701.0,3.2
1069,701.0,6.4
1070,701.0,6.5
1071,42.0,96.3
1072,292.0,52.8
1073,106.0,88.1
1074,701.0,1.7
1075,701.0,1.2
1076,101.0,88.5
1077,207.0,69.9
1078,701.0,1.2
1079,288.0,53.4
1080,617.0,14.5
1081,663.0,10.5
1082,691.0,8.7
1083,345.0,42.6
1084,701.0,7.9
1085,678.0,9.6
1086,137.0,81.7
1087,6.0,99.7
1088,701.0,1.4
1089,701.0,1.0
1090,552.0,19.0
1091,245.0,61.6
1092,173.0,75.6
1093,701.0,1.0
1094,11.0,99.5
1095,485.0,26.1
1096,360.0,40.8
1097,118.0,85.2
1098,97.0,88.8
1099,701.0,2.1
1100,345.0,42.6
1101,701.0,6.3
1102,701.0,1.8
1103,701.0,1.1
1104,249.0,60.4
1105,701.0,7.3
1106,701.0,3.0
1107,673.0,9.7
1108,199.0,71.2
1109,279.0,54.6
1110,701.0,1.0
1111,564.0,18.2
1112,701.0,1.8
1113,701.0,1.2
1114,701.0,1.3
1115,701.0,1.1
1116,367.0,39.0
1117,447.0,30.2
1118,88.0,90.9
1119,701.0,3.5
1120,239.0,62.5
1121,701.0,5.6
1122,52.0,95.1
1123,108.0,87.4
1124,588.0,16.3
1125,701.0,8.1
1126,481.0,26.6
1127,388.0,36.6
1128,182.0,73.6
1129,13.0,99.2
1130,701.0,7.0
1131,701.0,1.1
1132,701.0,1.8
1133,97.0,88.8
1134,647.0,11.7
1135,502.0,24.1
1136,701.0,1.2
1137,571.0,17.8
1138,366.0,39.3
1139,432.0,31.0
1140,128.0,83.5
1141,701.0,7.0
1142,377.0,38.1
1143,701.0,2.0
1144,150.0,80.0
1145,511.0,23.2
1146,379.0,37.8
1147,701.0,1.4
